X0,X1,X2
-0.914697,0.974086,-4.692018
-1.005483,-0.036011,-1.022168
0.190867,1.245920,-1.373138
0.975540,-0.226102,-0.069000
0.505785,-0.640708,2.520178
1.415740,-1.055477,1.373698
-0.795464,-0.032515,0.358619
0.633397,-0.762680,1.847506
-0.291867,1.350493,0.119633
0.219306,-0.837719,1.769970
1.066058,-0.663496,0.229817
-1.627211,0.558744,-0.865614
1.914465,1.140204,1.491490
-0.139660,0.702941,-2.722406
-1.544861,1.017984,-1.807666
-0.666211,-0.077132,0.458006
0.098372,-0.063583,-0.052028
-0.666431,1.934416,-5.330250
-1.969162,1.625287,-3.800869
0.093078,0.686745,-1.391617
-0.694002,1.064063,-0.411084
0.626107,0.825527,-0.723492
-1.027313,-1.159611,0.395842
2.174586,-0.038128,1.020572
0.493883,1.439231,-1.221400
0.189229,0.692646,-0.718071
0.599168,-0.061145,-0.256726
-1.751485,1.450754,-2.880431
-0.477853,0.355104,-1.337699
1.714473,0.726532,-2.233296
-0.307825,0.360133,-0.046114
-0.060410,0.520357,-0.172348
-0.448565,0.589115,-0.895331
1.408205,1.249708,-1.066844
-0.235229,1.374982,-2.034396
-1.203709,-0.433749,0.505845
2.479673,0.341844,0.695147
-1.322161,1.222145,-1.705599
-0.093636,-0.126502,-1.318707
-0.809432,-1.258576,1.237254
-0.674628,-0.873715,0.691885
-1.019087,-0.807302,1.301263
-0.519232,-0.440564,-0.673576
0.946202,-0.717540,0.827944
-1.828865,0.989542,-3.926320
1.212336,-0.266182,0.658910
1.046555,1.212619,-0.602482
0.489489,-1.086839,0.038795
0.121320,-0.339739,0.104266
0.266004,0.100268,0.643836
1.368690,0.779496,-0.152947
-1.678668,1.099660,-2.551210
0.699329,-0.517622,-0.277383
-0.717486,0.955227,-1.852413
0.794002,-1.617233,2.704000
-0.590011,0.837833,-1.670083
0.679695,-1.289508,2.313863
-1.488954,0.429473,-1.909971
-1.627503,1.085775,-3.007753
-0.108716,0.853121,-2.192789
1.380341,-1.576160,3.973465
0.515667,-0.430039,-0.252898
0.508773,0.689371,-0.391084
0.827124,0.661834,1.461228
-0.381715,0.265323,0.442544
0.587269,-2.116967,3.674182
-0.557388,1.151990,-1.660544
-0.301943,1.323350,-2.067488
-0.182551,0.157445,-1.201536
-0.524555,0.219790,-0.901847
-0.063511,0.483720,-0.124972
-0.244772,1.404296,-1.635464
-0.680459,0.240922,-0.037048
-0.135196,-0.183825,1.317898
0.149297,0.366853,-0.527013
-1.057580,-0.010683,-0.547902
0.401407,0.000240,-1.543095
-0.474701,-1.697971,4.056169
0.190584,0.502731,-0.921240
-0.639720,1.126419,-1.298691
1.010109,0.981145,-0.969519
0.919358,0.914431,-0.968597
-1.009045,-0.050965,-0.873309
0.504816,0.140076,-1.024274
1.390670,1.145600,-2.902402
-0.911726,0.834009,-0.619579
-0.835548,1.429214,-1.934999
0.706800,-0.646854,0.464536
-1.256924,-0.652854,0.401729
-0.747622,-0.319783,0.683067
-0.975657,-0.906778,-0.168441
0.718747,-1.270652,2.565838
-0.665809,0.450621,-0.091394
-0.273662,0.385151,-2.080136
-0.719555,0.236760,-0.304689
1.104359,0.340146,0.684682
-0.826348,-1.407440,3.066556
-1.353485,-0.461597,0.184417
-1.391171,-0.282186,-1.007634
0.666992,0.046641,0.125841
0.736422,-1.403643,4.301913
1.200554,-0.892122,1.673347
-1.212495,-0.419698,0.257085
-0.222323,1.017600,-1.717596
2.333982,0.251803,2.357359
-0.290694,0.982292,-0.403231
-0.541749,-0.117724,-0.250082
-0.020202,0.000951,-0.406624
0.509577,0.479889,-0.682347
0.493502,-0.170398,-1.089624
-0.590810,-0.600708,0.465745
-0.562544,-1.432511,1.554681
-0.285063,-0.574930,-0.233661
-0.702019,0.804040,-3.311750
-1.187293,1.212208,-2.225659
1.738445,-0.743433,2.519438
-0.391280,-1.667084,2.284641
-0.336778,0.890988,-2.355367
-0.306819,0.066634,0.077803
-0.077415,-1.295260,1.468437
0.418046,-2.991196,5.040116
-0.447308,-0.926373,-0.040903
1.095551,-0.445148,2.461592
0.574833,-1.107376,3.306556
-0.183560,0.665306,-0.888448
-0.640621,-0.781329,0.958388
1.043217,0.011925,1.474371
-0.155813,2.282241,-4.082435
-1.194974,0.112946,-1.458671
0.981810,-0.111077,1.015364
-0.698405,-0.089355,1.573010
0.835111,0.643294,-1.402488
-2.417607,0.524129,-0.817190
-0.354489,-0.964973,0.826654
1.115374,-0.395346,1.271321
0.004933,-0.641674,2.014299
0.575140,-0.271777,2.705231
-0.867256,1.756397,-2.503614
0.334338,0.593710,0.579076
0.003608,-0.076696,-0.782027
0.233979,1.196686,-1.909798
1.960880,0.181226,-0.153746
1.254435,-1.575076,2.450427
0.761545,1.599994,-1.012575
0.773686,-0.150386,0.946768
-0.874204,-2.169294,3.882182
-0.453113,-1.538129,3.668518
-1.473662,1.084332,-2.590047
-1.220776,-1.522526,0.477074
-0.852451,1.297354,-1.183680
-0.028005,0.077932,1.093887
-1.177914,0.686449,-1.305179
-0.037664,-0.246934,0.974957
-0.148108,0.503244,-0.234954
-1.090624,0.304397,-2.118708
1.466936,-0.037049,-0.088001
-1.273605,-1.024478,0.392729
1.074370,0.344745,0.113930
-2.167611,-1.747169,1.022660
-0.136765,0.895690,-1.394666
-1.151582,0.189422,-2.698327
-0.629294,0.446351,-3.059125
1.740563,-2.516300,5.229892
-0.333629,-1.082455,0.543584
-1.062085,-0.486322,-0.336405
0.468889,0.647779,-1.053208
-0.342070,-0.906565,0.066845
0.144919,2.450046,-4.007219
-0.879299,-0.253190,0.691377
-0.831953,-0.976936,0.461193
-0.757399,-0.179666,0.310935
0.767738,-0.914389,2.477760
-0.218109,-1.138810,1.640549
-1.007960,0.972113,-1.212093
0.155598,0.493509,-0.522166
0.076424,0.496301,0.715930
0.551551,1.227669,-0.425346
-0.463278,0.467962,-0.019578
-0.074589,-1.026371,0.387883
0.405467,0.681400,-0.352310
-0.970549,-1.083306,-1.031956
0.852152,-0.459661,2.549986
0.015811,-0.043960,-0.530684
-1.058685,-0.141522,-1.028028
-1.065809,-1.722322,0.186620
-0.095577,-0.930405,1.115064
-0.529073,-0.021643,-0.602997
0.725596,-0.587209,3.033028
-0.275728,1.082959,-0.785386
0.291396,1.247604,-1.921654
-0.815996,-1.077313,-0.768426
-0.022112,0.057457,-2.286661
1.264960,1.521870,-2.085388
-0.142434,-0.129058,-1.211690
-0.531706,-0.391333,0.472017
-0.830596,0.827150,-1.807830
-0.018049,-0.263660,0.348910
1.355134,1.222012,-1.555041
-1.311171,-0.571882,-0.030852
-0.047999,-0.456343,-0.802570
-1.647983,0.759779,-2.242055
-0.394644,0.096678,0.393322
0.252667,0.104238,-0.309463
-1.519618,-1.835928,1.756389
-0.427709,-0.339826,-1.758060
0.279351,0.830820,-2.867946
0.126097,-0.753580,1.389691
0.325927,0.673731,0.355234
-0.937128,0.257687,-1.227597
0.278955,-0.192037,2.510872
-0.576941,1.305556,-3.503325
0.686579,-0.326779,0.258265
-2.221819,-0.259761,-1.093390
-0.278475,-0.203019,0.515638
0.095076,0.077429,-0.595670
1.297553,0.737472,-1.067780
0.083460,-1.415943,2.508012
0.181047,0.834673,-0.836245
0.361055,0.065480,-0.162246
1.204913,0.532735,0.632910
-0.367213,2.299896,-3.399562
-1.349159,-0.491990,-0.442753
-1.533245,-1.177588,0.288989
0.638660,0.186348,-0.582605
0.214626,0.338628,-1.178882
-0.246487,0.838101,-1.776058
-0.563562,-0.517679,0.310480
0.173881,-0.798194,-0.632223
0.201660,-1.474036,2.979448
0.461383,-1.314921,2.063852
-1.066044,-0.399971,-1.253128
-1.696477,-0.112103,0.503889
-0.878407,1.985741,-3.177972
-1.299185,-1.627512,-0.071156
-1.348991,0.322507,0.137302
1.509388,-0.698027,3.281322
-2.179848,0.214299,-2.692605
0.451647,-0.531967,0.704227
0.872129,0.995579,-1.127186
0.949502,0.989623,-2.441622
0.266574,-0.108753,0.642630
1.269166,1.383786,-0.102289
1.714837,0.730886,0.885499
