X0,X1,X2,X3,X4,X5
0.770497,-0.532133,-0.867666,-0.085367,-1.209084,-4.444154
0.259417,0.312991,0.459531,-0.530994,1.831594,3.060312
0.111805,0.207196,0.230671,-0.443532,0.731635,1.835078
-0.164788,-0.355612,-0.082505,-0.114471,-0.282233,-0.455571
-0.299444,0.188373,-0.038187,0.834513,-0.375462,-0.635511
0.152764,0.012268,0.214993,0.134729,0.514070,0.406863
-0.494487,-0.373981,-0.782851,1.052547,-2.063713,-4.189795
0.470071,-0.304083,-0.110575,-0.483149,-0.240731,-0.730612
-0.596117,-0.043144,0.157694,0.452526,-0.118208,0.962492
-0.297908,0.214546,-0.112013,-0.071209,0.306303,0.924450
0.289470,0.171981,0.474438,-1.296040,1.618727,3.994189
-0.010251,-0.155928,0.314059,-0.164292,0.108351,0.612247
0.052981,0.132945,-0.049530,-0.028316,0.358988,0.568092
-0.199002,-0.047089,0.378157,0.298279,-0.314507,-0.534496
-0.036936,-0.212734,-0.679586,-0.033745,-0.818273,-1.436485
0.198055,0.278043,0.204967,-0.152067,0.032547,0.529466
-0.240910,0.045084,-0.717066,0.027561,-0.717422,-1.384753
-0.075857,0.147870,0.399084,0.225122,1.112703,1.574311
0.001532,-0.317754,-0.722302,0.376747,-1.211478,-2.924772
-0.078385,-0.150424,-0.697037,0.392611,-1.212052,-2.951937
0.217344,0.237404,0.284623,-0.319397,0.847386,1.509106
0.132991,-0.081251,0.228544,-0.330848,0.258108,0.438532
-0.030285,-0.064520,-0.173801,-0.281837,-0.432648,-0.433579
-0.493828,-0.307155,-0.230546,0.029723,-1.159918,-1.243299
0.342099,0.056986,0.560102,-0.157931,0.641665,1.005808
-0.267392,-0.312378,-0.549782,-0.058533,-0.933101,-1.705311
0.514105,0.105879,-0.191019,-0.615989,0.196496,0.186068
-0.244552,-0.287398,0.061614,0.456734,-0.330075,-1.083517
0.073565,-0.060614,0.011653,-0.353917,0.512427,0.698169
0.184078,0.455914,0.813208,-0.452457,1.738276,3.614322
-0.056912,0.105880,-0.281998,0.097052,-0.308637,-0.464655
0.090299,-0.100287,-0.605975,-0.120662,-0.595057,-0.966201
-0.081782,0.248020,-0.197103,0.091830,0.362030,0.238917
0.546853,-0.209428,0.020474,-0.580370,0.331444,0.121628
0.058531,-0.285475,0.096575,0.003546,-0.107090,-0.547840
-0.033694,-0.105567,0.217128,-0.169858,0.010484,0.262093
0.070694,0.318028,0.440330,-0.271206,1.240330,2.425923
0.327740,0.301764,0.627910,-0.483830,1.603418,3.385499
0.113014,-0.143767,-0.302197,-0.310226,-0.037967,-1.026542
0.053092,-0.082191,-0.647080,0.111425,0.093666,-1.093334
-0.415280,0.121667,-0.361081,-0.351873,0.228316,1.375064
0.334432,0.702871,0.197197,-0.380931,1.570557,3.326747
0.101393,-0.068774,-0.620608,-0.478997,-0.198397,-0.022819
-0.128921,0.400195,-0.042034,0.231211,0.271806,0.816441
0.094573,0.072213,-0.204415,0.046963,-0.469151,-0.739141
0.402614,0.246991,0.392756,-0.241191,0.571608,0.553368
0.206984,0.293393,0.343093,-0.684370,0.834995,2.185157
0.569827,0.050938,0.481428,-0.664951,0.531244,1.267350
0.253095,-0.008202,-0.366035,-0.168613,-0.335076,-1.082814
-0.558490,-0.059974,0.055288,0.722892,-0.428720,-0.599152
0.364997,0.101495,0.470174,-0.179621,1.001634,1.877894
-0.504599,0.343834,0.154359,0.529578,-0.094587,0.991599
0.391050,0.382883,0.207696,-0.453152,1.164251,2.161353
0.256208,0.350415,0.707994,-0.294963,1.316879,2.703762
0.486290,-0.134874,-0.221578,-0.229557,-0.126957,-0.743978
0.128200,-0.164467,0.270296,-0.042117,0.048519,-0.130470
0.082849,-0.239701,-0.639545,0.367859,-0.479335,-1.694859
0.358546,0.044586,0.507880,-0.409900,0.526124,0.982177
-0.340643,0.270044,0.601359,-0.278425,0.873741,2.980218
0.011669,-0.163556,-0.420614,0.430866,-0.793352,-2.079945
-0.066580,-0.052968,-0.135781,0.229929,-0.204182,-0.782757
-0.124320,0.187187,-0.194701,-0.010637,0.115502,0.484882
-0.165197,-0.092964,-0.224592,0.248034,-0.473174,-1.073880
0.045751,-0.055102,-0.501113,0.417346,-0.611885,-1.528508
0.207924,0.322563,-0.231737,-0.345043,0.541522,0.667583
0.430523,0.006859,-0.356931,-0.002246,-0.330958,-1.267423
-0.082438,-0.208490,0.116857,0.325355,0.205958,-0.330609
-0.106386,0.027890,-0.513927,-0.010695,-0.306828,-0.321666
-0.816577,0.125436,0.507632,0.389517,0.318293,1.941012
0.423925,0.724974,0.902011,-0.769953,2.495040,5.121145
-0.393101,0.439721,0.767877,0.559641,0.330567,1.600261
0.139066,0.924076,0.912086,-0.770953,2.057500,5.709255
0.084689,-0.308379,0.206291,0.174945,-0.336696,-0.701989
0.286673,0.402711,-0.061178,-0.050182,0.112867,0.018786
-0.254608,0.449514,0.791229,-0.479925,1.771774,4.669946
0.166194,0.008825,0.888148,-0.058638,1.085698,1.879711
0.471390,-0.113591,-0.176128,-0.262631,0.322303,-0.213433
0.067304,0.213415,0.171578,-0.072811,0.287634,0.162206
-0.253621,-0.094327,-0.349634,-0.187466,-0.165095,0.140919
-0.424698,-0.331126,-0.271858,0.379332,-0.491134,-1.293136
0.430996,-0.410238,-0.306735,-0.836445,-0.253680,-0.865338
-0.127129,-0.433259,-1.064860,-0.034030,-1.196124,-3.221107
-0.069623,0.067475,0.236475,0.281202,0.110864,0.287651
0.731914,0.194306,0.491993,-0.938735,1.597903,2.741792
0.267158,-0.282120,-0.503063,0.106915,-1.082415,-3.038542
0.331627,0.140000,0.000212,-0.186882,-0.175686,-0.301810
0.475186,0.137960,0.366798,-0.878637,0.890759,1.848360
-0.451557,0.100369,-0.180743,0.458455,-0.331380,0.021253
0.444249,0.196810,0.388153,-1.010640,1.291875,2.507558
0.483664,0.062393,0.137653,-0.444496,0.583619,0.893802
-0.129145,0.385820,1.015021,0.060155,1.158634,2.566683
0.217679,0.180558,0.121612,-0.378356,0.253211,0.782223
0.280067,-0.363153,-0.473746,-0.589531,-0.067317,-0.614676
-0.204892,0.532626,0.539737,-0.489818,1.372433,3.820748
0.264722,-0.278113,-0.210991,0.606239,-1.008040,-2.867849
-0.183878,-0.004689,0.468270,0.369519,0.309661,1.177714
0.750307,0.738750,1.106591,-1.216482,2.312159,5.027034
0.046796,0.141754,-0.086577,0.158904,-0.207057,-0.265738
0.164152,-0.238097,-0.264938,0.378537,-0.514200,-1.911994
-0.471127,0.097482,-0.115375,0.781247,-0.725342,-1.340747
0.114628,0.151203,-0.119425,-0.248809,-0.173266,-0.381877
0.353144,0.058229,-0.892685,-0.485626,-0.582061,-1.721124
-0.258954,-0.146692,0.359909,0.567914,-0.089772,-0.039678
-0.151172,-0.370466,-0.519692,0.272148,-0.678714,-1.492190
-0.205772,-0.337126,-0.425480,0.726110,-1.108049,-2.533991
-0.334105,-0.225587,0.603562,0.486205,0.161217,0.326567
-0.374959,0.374834,0.144181,0.423087,0.046194,0.531329
0.297932,-0.352839,-0.363154,0.174911,-0.802066,-2.337640
-0.366372,0.045083,0.116961,-0.025500,-0.147725,0.204797
-0.516304,0.404769,0.453673,0.364486,0.961667,2.715476
-0.154038,0.188373,-0.013496,0.394548,0.022662,0.144041
0.014524,0.411442,0.686826,-0.455234,1.368417,3.064300
0.167986,-0.169726,-0.102711,-0.244348,-0.013262,0.143249
-0.256869,0.181825,0.192348,0.517956,-0.039985,-0.201948
-0.170276,0.333147,0.097826,0.448159,0.095000,0.387937
0.156578,0.272436,0.201683,-1.315870,0.981087,3.202393
0.261824,0.257597,0.508583,-0.049260,1.320825,2.370018
0.359947,-0.345804,-0.020878,-0.865672,-0.009354,-0.204852
0.138808,0.193091,0.045524,-0.256767,0.326813,0.658293
-0.479857,0.141188,-0.099938,0.016618,0.268170,0.791349
-0.253334,-0.043515,0.216051,0.121421,0.081931,0.532192
0.362978,-0.175102,-0.066702,-0.251264,-0.800980,-1.292543
0.512581,0.130388,0.368431,-0.434027,1.326911,1.394606
-0.025383,-0.285799,-0.531695,0.583354,-1.301275,-2.924704
-0.050852,-0.124846,-0.115958,-0.274824,-0.343978,-0.475932
-0.289742,0.272716,0.494264,0.492650,0.456534,1.213763
0.411133,0.301623,0.059007,-0.650855,0.634102,1.052217
-0.306351,0.139549,0.668967,0.167614,0.545436,1.542883
0.567849,-0.133094,0.354899,-0.019232,0.212658,0.247099
-0.023636,-0.321748,-0.341838,0.429749,-1.481851,-3.122614
-0.248916,-0.225620,-0.255273,-0.119968,-0.224906,-0.327141
-0.516147,0.372139,0.420094,0.315889,0.930346,2.136087
-0.078288,0.056313,0.098704,-0.165017,-0.237280,0.888072
-0.036544,-0.029503,0.325651,-0.073751,0.438691,1.086165
-0.092278,0.047318,-0.213375,0.032149,-0.406179,-0.569326
0.001460,0.198157,-0.077709,0.032944,0.020059,0.425523
0.401085,-0.297162,-0.182777,-0.622448,-0.070303,-0.404589
0.179129,-0.140784,0.019513,-0.175837,0.199793,-0.007769
0.056385,0.187013,0.154005,-0.265740,0.611990,1.319845
0.330478,0.069407,0.320230,-0.260316,0.123577,-0.088062
-0.265231,0.320181,0.677254,0.093790,0.973397,2.412947
0.206493,0.218083,0.407976,-0.048557,0.806452,1.289662
0.200990,-0.223487,-0.088999,-0.017469,-0.563313,-1.239315
0.434110,-0.966100,-0.911928,0.218346,-2.365614,-5.927764
-0.396747,0.059132,0.073695,0.441784,-0.131828,0.244791
-0.250728,-0.302572,-0.661459,0.074798,-0.848503,-1.762581
-0.234512,0.146932,-0.215177,0.056509,-0.218687,-0.276976
0.138419,0.460390,0.769057,-0.566110,1.650151,4.217665
0.064837,-0.298047,0.245613,0.303530,-0.666643,-1.516619
0.164346,0.187127,-0.230979,-0.015031,0.097641,0.091547
-0.609864,0.251904,0.379630,0.470788,-0.141899,0.431911
0.426149,0.100073,-0.353343,-0.442338,0.133678,0.077644
0.068027,0.094911,0.560460,-0.574230,1.210521,2.220922
0.159948,-0.601051,-0.533178,0.026548,-1.274393,-2.536852
0.107195,0.018972,0.745919,-0.842985,1.348960,3.379732
-0.181732,-0.002512,-0.186488,0.420584,-0.341928,-0.872190
0.149949,0.303860,0.119553,0.339648,-0.116861,-0.074067
0.022065,0.277871,0.359927,-0.316567,0.501707,1.250086
0.018221,-0.147727,0.131733,0.121977,-0.229043,-0.566527
0.142762,-0.549968,-0.248621,0.251961,-1.072967,-2.519593
-0.029676,-0.461988,-0.124169,-0.066421,-0.856310,-1.492995
-0.393871,0.407774,0.293028,0.158041,0.315648,1.540935
-0.052538,-0.022373,0.265606,0.200156,-0.721773,-0.756571
0.470387,-0.418751,0.275540,-0.219592,0.361751,0.101370
-0.160196,-0.382770,-0.104547,0.372921,-0.271949,-0.878365
0.027234,0.066808,-0.178052,-0.147130,-0.245670,-0.819035
0.241515,0.035014,0.154367,-0.499840,0.050066,0.446749
0.613467,0.479323,-0.145344,-0.670243,1.239764,1.910877
-0.074029,-0.023218,0.182899,0.596644,-0.810127,-1.793758
-0.355228,0.111784,-0.384400,-0.274893,0.232183,0.560268
0.194670,-0.012133,0.197253,-0.815470,0.813022,2.240765
-0.235123,0.237052,0.196704,-0.231297,0.494743,1.462700
0.085484,0.509475,0.738704,-0.471013,1.960731,4.064335
0.175423,0.273384,0.254360,-0.392091,0.592578,1.268645
-0.138761,0.570543,0.910632,-0.108800,1.827590,4.290292
-0.078753,0.156588,0.303365,0.022445,0.382256,1.122146
0.237135,-0.459104,-0.084689,-0.050773,-0.950946,-1.564041
0.316274,-0.238526,-0.320856,0.166065,-0.083990,-1.461070
0.012799,0.237609,0.082448,-0.400532,0.381856,1.415261
0.048805,-0.069842,-0.464857,0.248036,-0.776952,-2.381291
-0.325340,0.000535,-0.328815,0.905726,-0.579546,-1.970274
0.034179,-0.234505,-0.178080,-0.342550,0.107897,0.393512
-0.113369,0.418111,0.386503,-0.659197,0.847989,3.127901
0.022768,0.443293,0.506050,-0.192407,1.523173,3.251713
0.410523,-0.066286,-0.257719,-0.197569,-0.207129,-0.610257
-0.325984,-0.063458,-0.006514,0.374429,-0.319174,-0.752903
0.340222,0.369190,0.714326,-1.147557,1.701355,4.512523
0.056373,0.302806,0.391753,-0.697981,1.113684,2.519110
-0.007799,-0.472103,-0.403395,0.098319,-1.444027,-2.789648
-0.251468,0.196688,0.255712,0.277556,0.431939,1.878030
0.080914,0.143516,0.486247,-0.257216,0.824888,1.581236
0.628564,0.054035,0.097888,-0.605637,0.391201,0.825511
-0.737432,-0.254035,-0.373633,0.932503,-1.116565,-1.777292
-0.566055,-0.247729,-0.365211,0.970682,-1.241756,-2.633383
-0.051173,-0.896911,-0.945928,0.167187,-2.061851,-4.095617
0.094658,-0.190010,-0.331788,0.024667,-0.426498,-1.500785
0.271960,-0.570448,-0.272859,0.426348,-1.240860,-3.372257
0.130870,-0.156569,0.354625,-0.283232,0.074984,0.536886
-0.473559,0.116411,-0.015941,0.242334,0.207180,0.758890
