X0,X1,X2,X3,X4,X5,X6,X7
-0.152551,-0.594040,0.257875,0.634065,0.216548,0.158513,-0.432371,-1.072920
-0.125043,0.696329,1.130709,0.718282,0.978625,0.344282,-0.645683,-1.006663
0.891122,-0.158609,-0.537333,1.139230,-0.012162,1.326618,-0.032424,-2.785551
-0.912882,0.881067,-1.150155,-1.412978,1.408500,0.148439,-1.566106,-0.750363
-0.028264,-0.033474,1.205692,0.241365,1.266303,0.963059,-0.340782,-1.936085
-0.449950,-0.014582,-0.098102,0.543106,-0.423958,-0.319187,-0.341916,-0.122391
-0.157562,-0.515879,-0.155117,-0.450462,-1.644639,-0.345356,0.944285,1.619430
0.607358,-0.021051,1.215201,-0.043129,0.716362,0.348672,-1.461115,-3.853743
-0.093944,0.665715,-0.252344,0.947728,0.623289,0.096043,-0.208508,-0.506611
-0.200489,-0.102007,-0.860270,-0.175146,-0.947200,1.288650,1.489222,2.037047
-1.715429,0.144699,-1.012717,0.922636,-0.823046,1.156042,-0.838954,-1.098783
0.572860,1.181429,-0.002772,-0.063695,0.953451,2.779065,1.935002,-0.992713
-1.185210,-0.881012,0.636898,0.307977,-0.559353,-1.307007,-0.225009,3.687634
-0.343736,-0.686208,-0.210229,0.649913,-0.831368,-0.710572,0.444106,0.961190
-0.625346,0.218278,-0.082611,-0.822653,-0.472960,-0.368042,0.394832,2.379247
-1.665749,-1.252475,-0.568055,0.287307,-1.536157,-1.745014,-0.119649,4.583838
0.101471,0.372311,-0.377633,-0.376731,0.100260,0.649066,1.298586,1.045020
-0.308011,-0.585776,1.147274,0.862820,1.540939,-0.324572,-1.421560,-1.719473
0.374896,-0.331116,-0.100761,-0.247086,-0.941683,0.066857,0.719387,0.573628
0.397565,0.617439,-0.566038,-0.256788,0.566831,0.462219,-0.434982,-0.186426
0.449167,-0.918615,1.199816,-0.630532,0.894500,-1.379587,-2.857261,-2.179214
0.370231,-1.456438,-0.206045,-0.050725,-1.643788,-1.531236,0.953140,3.707304
0.359986,-1.548085,-0.129683,0.387658,-1.959574,-3.506635,-0.175435,5.342972
0.697155,0.205488,-0.189688,0.042206,0.984988,1.324820,0.593055,-3.339656
0.261973,0.612360,-1.190904,1.608768,-1.485885,0.759407,1.282092,-1.424716
0.156638,-0.785609,-0.311908,-0.331652,-1.562504,-0.961514,0.041196,1.311491
-0.122115,0.774301,0.144799,-0.639392,0.025681,1.765698,1.098551,-0.357704
0.188252,-0.051438,-0.318443,-0.096974,-0.825117,-0.768248,-0.160334,0.851188
0.379574,0.023843,0.710215,0.248866,0.488382,-0.865554,-2.389238,-2.152762
0.358313,0.669176,-0.739125,-0.931844,1.003564,-0.173823,-0.644091,-0.193580
-0.131226,-1.308089,0.198237,0.956084,-1.274610,-1.767046,-0.578669,1.940839
1.549413,0.464095,-0.387899,-0.187385,1.593005,2.053439,0.947879,-3.655240
1.118142,-1.355543,0.673585,1.238395,0.076863,-3.183885,-2.191420,1.805128
-0.598778,-1.198982,1.107124,0.973979,-0.421015,-2.697659,-2.264534,1.727287
-0.006229,-1.083583,0.881754,0.482666,-0.514655,-1.596158,-0.134058,2.521168
1.176193,0.409756,0.042946,-0.015885,0.540709,0.242226,0.004581,-2.312397
-0.647362,0.452143,-0.035729,-0.738708,0.419532,0.302115,-0.858744,-0.016750
-0.902788,0.607878,-0.085262,-0.460680,-0.394610,0.663334,1.066156,0.937985
1.953831,-0.068230,-0.796453,-0.785725,-1.310315,1.432133,2.748515,-1.145609
-0.355275,-0.316666,0.646299,-0.816966,-0.824938,-0.908612,0.956566,4.320258
-1.475073,0.321697,-1.562606,0.209754,0.158631,1.608299,-0.174895,-1.698971
-0.601047,-0.153575,-0.301450,0.238000,-0.303910,0.357915,-0.405323,-0.865147
-0.313211,0.103300,1.167532,-1.136377,0.914298,-1.753859,0.633767,2.996659
0.590608,-0.102936,-1.204083,-0.356437,-1.663325,0.451652,0.950186,-0.715429
0.023931,-0.090744,0.338064,-0.591457,-0.182254,-1.443327,-0.253789,0.966936
-1.030569,1.434465,0.542186,1.063949,0.673943,1.277025,-2.203573,-2.938299
-2.146029,0.610087,-0.429658,-1.530795,0.266442,1.790612,2.726693,3.509150
0.356162,0.299761,-0.776825,1.400717,0.129760,0.580408,-0.007753,-1.447138
0.043215,-0.329642,-1.242061,0.423788,-0.262723,1.258050,1.908490,0.183756
0.879616,-0.005140,-0.357863,-1.869883,0.252219,-0.900414,-0.280190,0.526085
-0.466077,0.666859,-0.588573,-0.468194,0.600456,1.458468,1.607955,0.847494
-0.200131,0.083682,-1.070480,0.325961,-0.039233,1.034513,-0.328294,-2.019065
-0.397340,-0.342414,0.708900,-0.497167,0.224721,-2.638236,-0.157321,4.893817
-0.451177,-1.266222,-0.648611,-0.199441,-2.672361,-1.194988,-0.477826,-0.138402
0.276263,-0.318178,0.315856,1.661600,0.573839,-2.456694,-1.967563,-0.494601
-0.337984,0.450493,-0.649444,-0.308781,-0.711877,0.796410,1.163468,0.038201
-1.233993,-0.969307,0.373962,-0.789948,-0.577844,-0.971257,0.852506,4.276840
0.954074,1.020403,0.135017,0.668788,0.276705,0.693987,0.234268,-3.289299
0.156433,0.130896,0.740515,-1.024132,1.623797,0.321404,0.067737,1.675230
0.476345,0.974584,-1.182505,0.513005,0.409334,3.526710,3.178112,-1.780925
0.952661,-0.107546,-0.574471,0.426548,-1.635474,-0.600324,1.880741,2.625513
-0.156672,-1.657017,0.657078,1.333349,-0.785267,-3.053646,-1.520630,3.417345
-0.152906,-0.341100,-0.490296,0.302765,0.019749,1.543907,0.848839,-1.036075
-0.792117,-0.539374,-0.301527,-0.170878,-0.836431,-0.391555,1.568453,2.316678
0.622074,-0.682135,0.382802,-0.021323,-0.263564,-0.091870,1.311965,1.238442
-1.138189,0.292407,-0.234033,1.561254,0.751215,-0.488730,-1.599857,-1.051548
0.142394,-0.721883,0.064450,0.045913,-0.767464,-2.738053,-0.946828,2.761480
0.377032,-1.112402,-0.104273,-0.156079,-1.130739,-1.948241,-0.885769,2.314517
-0.966476,-0.524144,-0.262534,-0.047628,-0.121737,-0.464828,0.123964,1.421577
0.896851,0.543648,-1.021524,0.347364,-1.179064,0.449732,1.037193,-1.135031
-1.450801,-0.259541,-0.356961,-0.274952,-1.047803,-0.703839,1.241390,4.691227
-0.970255,-0.728772,0.379206,-0.754617,-1.545940,-2.775427,1.319738,6.362678
-0.025108,-0.366588,-0.248912,-0.490217,0.920908,0.295403,0.786327,0.465844
0.520540,0.725705,0.343731,-0.646210,1.030998,0.614489,0.852241,-0.241798
-0.998866,0.281593,-0.254792,-0.112070,0.784020,-0.904547,-1.084718,1.709861
0.528295,0.315818,0.337907,-0.448147,-0.290146,-0.225775,0.087489,0.684516
0.597028,0.270656,-0.466183,-0.130982,0.722070,0.713729,0.579666,-1.472528
-0.288624,-1.280933,-0.867404,-0.110626,-2.117911,-0.518848,1.671516,1.673847
0.095427,-0.165059,0.617464,0.192290,1.416850,-0.484696,-0.784314,0.626562
0.852631,0.658687,-0.818529,-0.703247,-0.307296,1.788558,0.951514,-3.780876
1.114382,-1.674721,-0.521916,1.243416,-2.728213,-1.458723,-0.406438,0.215446
-0.376863,-1.497578,-0.008904,0.909365,-0.526096,-2.156303,-1.731115,1.232141
-0.608295,-0.866050,-1.332369,0.393949,-1.914800,-0.040086,1.587763,2.317786
-0.116582,-0.625473,-0.434794,0.537536,-1.795509,-0.025807,0.904142,1.029738
-0.789493,-0.051303,-0.496841,-0.829212,-1.693485,0.551441,3.101526,3.544274
0.913568,-1.027445,-0.214410,-0.426313,-0.789796,-0.807675,-0.369166,0.076423
0.356892,0.286135,-0.191018,-0.345416,0.058367,0.347785,-0.336905,-0.797554
-0.003004,1.548890,-0.362525,-1.037589,1.180402,1.087046,0.304307,-0.517957
0.816441,-0.497547,-0.143579,-0.276034,-0.394307,0.377072,0.263149,-2.986810
0.564649,-1.110030,1.049618,1.659005,-0.131029,-2.837814,-3.067780,-0.553790
0.711471,-0.393986,1.696798,0.077929,1.460373,-1.135426,-1.586885,-0.154745
0.405250,0.315962,0.350547,1.117987,1.118815,1.224170,-0.649922,-4.093026
1.033472,0.030358,-0.254009,1.068793,-0.310672,-0.626099,-1.694825,-2.167923
-1.000717,0.458125,-0.676226,-0.688942,0.171395,0.932264,0.396456,1.173646
0.381405,-0.283461,-0.555966,0.026491,-0.330862,-1.152855,0.099169,1.497720
1.147319,0.159238,-0.190254,-0.289763,0.749232,0.254329,-0.377168,-1.685283
-0.231713,1.793717,0.809328,0.680422,0.669615,0.643303,-1.097591,-3.264512
-0.417557,-0.371687,-0.768389,0.343397,-1.331300,-0.839237,-0.035102,1.379042
-0.269489,-0.087349,0.243466,1.216315,0.545082,0.352573,-1.795731,-2.478503
0.001465,0.249587,-0.400188,0.150615,1.388426,1.428825,1.073446,-1.413469
0.789196,1.744737,0.682736,0.603440,3.005351,1.737165,-0.771473,-4.839925
0.004276,0.546072,-0.294084,-0.469875,1.091455,1.261492,2.046984,0.912651
0.826908,-0.002469,-0.574061,-1.070183,1.421237,0.499571,0.043232,-0.670816
0.352756,-0.415591,-0.525688,0.490008,-0.899567,-0.585768,-0.270941,0.295360
0.684146,0.904328,1.247234,0.108339,3.427537,0.285251,-2.841385,-5.325346
0.035565,-0.141968,-0.056379,0.404264,0.323722,-0.368456,-0.332452,0.243528
-0.177483,1.034305,0.774590,1.033553,0.887760,-0.687484,-1.931707,-2.586721
-0.970342,-0.270728,0.231482,0.245733,-1.277299,0.727743,0.414344,-0.006154
-1.775345,-0.514746,0.419754,0.605713,-0.238257,0.045760,0.786067,3.629843
-0.286679,-1.142731,-0.297194,0.746024,-0.785522,0.663711,0.474476,-0.213847
-1.844817,0.295593,-0.106179,-0.107673,-0.030443,1.170737,0.927568,1.393782
-0.068699,-1.402217,-0.797571,-0.437939,-1.860327,-1.156900,1.034603,2.531707
0.482786,0.835620,-0.759389,1.444628,1.447743,0.159758,-1.458010,-1.962646
0.017254,-1.129000,-0.197965,0.281853,-1.133658,-0.528295,-0.977999,-0.191748
-2.063795,-1.409819,-0.273681,0.209673,-0.046769,-0.168012,-1.029456,-0.557312
-0.309934,-0.112931,-0.131954,-0.717918,0.347216,-0.730097,1.140244,2.522517
0.380722,0.617989,0.536954,0.180490,1.802914,1.221559,-0.677547,-2.832462
0.912132,-0.165877,1.327692,0.235369,0.885980,-0.627082,-0.785771,-1.112457
0.366629,0.478532,-0.750346,-0.683708,-0.310317,0.804868,1.651852,1.345947
-0.019019,0.154005,0.249419,0.539422,0.371976,0.511077,-0.566463,-2.474994
0.326767,0.419911,-0.458147,-0.186584,-0.108845,1.013770,-0.031295,-1.648701
1.330441,1.071752,-1.238091,-1.613793,0.298875,1.204392,0.447134,-2.218984
0.003623,-0.593910,1.695199,-0.382464,1.948957,-0.335759,-2.002688,-1.280672
-1.102036,0.034110,-0.081385,0.707136,1.754758,-0.408664,-2.338440,-1.542874
-0.358785,-1.504240,-0.306112,-0.655613,-2.103416,-1.520403,0.410836,3.490059
-0.561247,0.920343,0.621784,1.765869,1.364919,1.117371,-2.306646,-3.441156
-0.866077,-0.327043,1.727381,0.348845,1.995509,-1.348597,-1.631003,-0.176157
-0.536388,-0.037847,0.194732,1.632977,0.187117,0.816459,0.415740,0.332690
1.998106,-0.314952,1.825152,-0.804830,0.421660,-2.738026,-2.000899,2.963556
-0.763186,-0.574127,-0.038956,-0.883569,0.042497,-0.295333,-0.907972,0.393656
-0.385972,0.472560,0.717791,-0.174683,0.473809,0.274301,-0.017221,1.082599
2.019422,0.336281,-0.615706,-0.926095,-0.116697,1.848747,2.772045,-0.707330
0.396128,-0.482259,-0.606753,-0.333167,0.287627,0.526993,-0.670426,-1.145992
0.227749,1.187740,0.202497,1.159493,1.737821,-0.076417,-2.864668,-4.354419
0.367324,0.546137,0.945420,-0.224825,1.790022,0.130164,-2.724985,-4.003917
0.112450,1.098598,-0.384181,-1.162133,1.706277,3.019314,1.421736,-2.822390
-0.366808,-1.440919,0.662794,0.220155,-0.755789,-2.146944,-1.548145,1.517058
0.207748,-0.536539,0.259977,0.965821,0.014161,-1.481748,-0.774783,-0.256847
0.373290,0.632402,-0.215207,-1.365984,0.230011,0.773866,1.631254,0.386713
-1.262641,-0.970404,0.516788,-0.986195,0.189275,0.031678,1.578497,4.193234
-0.362323,-0.378244,-0.588501,0.040795,-1.833489,-1.173037,1.357727,4.660362
-1.268849,-0.826754,0.742550,-0.874276,-0.703395,-2.257694,-1.409200,3.014355
-0.686334,0.217004,-0.174391,-0.122277,0.057105,0.171249,-0.072953,2.213620
0.351660,-0.322733,0.525538,1.051901,0.631142,-0.922653,-0.742051,-1.404504
-0.343861,-0.811063,0.151070,-0.275667,0.815835,-0.063891,-1.416799,-1.759034
-0.204418,1.194485,0.064696,0.334245,0.451903,0.968722,-0.243991,-3.069390
-2.017692,0.404629,-2.473407,0.386511,-1.919977,1.655134,2.028621,0.165889
-1.016106,0.389771,-0.414853,-0.579246,0.154223,1.879445,1.254831,0.701724
-0.878749,0.075444,-0.727062,-0.770398,-1.428297,-0.598355,1.310598,3.256006
-1.283143,0.556269,0.402552,0.726446,0.302861,1.111998,-0.521585,-1.363763
0.109261,0.337410,-0.168959,0.035821,-1.167656,0.716763,0.478531,-0.965490
0.031477,-1.394985,-1.221053,0.152576,-1.916797,-2.026581,0.400415,2.357048
0.584769,1.362040,0.412767,-0.025944,0.976868,2.327154,0.521188,-4.815531
0.927404,1.241728,-0.121063,-0.093495,1.874684,0.949487,0.866371,-3.062290
1.002265,-0.369283,-0.043284,0.141516,-0.056661,-1.400191,-1.636446,-0.998840
0.258234,-1.249653,0.336022,-0.815845,-0.932304,-2.309326,-0.204950,3.675784
0.138852,-0.828009,0.184600,0.284396,-1.106780,-1.842015,-1.418475,0.178106
0.205573,-0.804038,1.470062,-0.731448,0.900079,-1.691286,-0.835647,0.105608
-0.740391,0.186488,0.665015,1.698378,0.576337,-0.888130,-2.060687,-0.488538
0.197891,-0.329084,0.051271,0.447221,0.151792,0.120314,0.077107,0.116706
-0.375964,-0.474467,0.240972,0.206073,0.644685,-0.494287,-1.354666,-1.565581
-0.897826,0.429441,-0.157880,-0.777972,-0.320431,0.540219,-0.356392,-0.824626
-1.312907,-0.107381,-0.354962,0.806218,-0.730151,0.395021,1.155058,1.949278
-1.769716,0.674460,0.644601,-0.346178,2.105322,1.995081,0.558506,-1.942028
-0.187400,-0.060876,1.179537,0.441700,2.024277,-0.505007,-1.221383,-1.716603
-0.497965,1.216461,-0.120712,-0.488048,0.251925,0.856217,1.250811,1.769022
-0.549001,1.618640,0.398241,-1.398129,1.163552,2.216809,1.367750,-1.028195
-0.844893,0.156586,-0.662827,1.125491,-1.080170,1.155498,1.134446,-0.405162
-0.411431,-0.247957,0.472908,0.422891,0.382361,-0.364857,-1.377889,-1.710269
-0.802004,-0.063596,-0.675853,-0.286083,-1.680251,-0.099708,0.943824,2.842719
0.067095,0.757968,0.149928,1.435721,0.823332,0.724461,-0.191153,-2.349124
0.537872,0.621374,0.325516,-0.013553,0.808052,0.178160,1.045607,0.923723
-0.356968,-1.407049,0.964559,0.883081,-0.812177,-2.507696,-1.141854,1.903527
0.794626,0.390361,-1.501552,-1.192731,-0.944630,0.996771,-0.503283,-3.107952
-0.567384,-0.299282,1.172730,-0.239590,0.858470,-0.297398,-0.338501,0.588356
-1.409738,0.186501,0.887878,-0.213125,0.702123,0.426266,0.929399,1.147991
0.994468,-0.017268,0.388253,-0.720627,1.562035,-0.441972,-1.082478,-1.582915
-1.493335,-0.307250,-0.223355,-0.645966,-0.767816,-0.340891,-0.015018,1.626407
-0.409270,-1.233213,0.781290,0.108454,-0.345723,-2.310218,-0.415264,2.318451
0.571935,-1.174971,1.380236,-0.127345,-0.225800,-2.275742,-1.294643,1.974246
0.904669,-0.219887,-0.192917,-0.143224,0.342017,0.124399,-0.338419,-1.159712
-0.118699,-0.115466,1.065486,-0.372909,0.030316,-0.101039,-1.070161,-1.507884
-0.418770,-0.063018,0.724902,0.745098,0.706082,-0.413998,-2.360757,-0.696994
1.533232,0.176239,0.915692,-0.909032,0.316670,-0.012391,0.940519,-0.694873
0.671139,-0.614935,0.575672,0.039295,-1.272328,-2.145234,-1.262710,1.663894
0.785589,-1.036125,0.018500,-0.329240,-1.379470,-2.256965,1.164606,1.956082
0.346323,0.705678,-0.857654,-0.387417,-0.618014,0.843103,2.574939,0.980348
0.440972,0.393460,-0.347501,-1.590757,0.424035,3.171344,1.677635,-4.006347
0.187830,-0.527496,0.505683,-0.029496,-0.624265,-1.603672,-0.957532,0.454487
-0.096406,0.621482,-0.139164,-0.448269,-1.096049,0.438280,1.767111,1.731687
-1.353743,-0.748399,-1.386515,0.202121,-3.355749,-0.564451,2.936977,5.285901
-0.978618,0.150932,-0.426806,2.243957,-0.133379,0.404443,-0.919980,-2.551410
0.494111,0.159932,-0.805240,0.125975,-0.243455,0.167228,-0.294971,-1.230353
0.876972,-0.476388,0.193015,0.339628,-0.115193,-0.206617,-0.525035,-1.232518
0.131000,0.349172,0.635701,-0.572077,0.567738,-0.574282,-0.273129,0.170005
-0.805213,-0.960051,0.166009,0.127012,-0.460261,-0.882561,-0.650261,1.744161
0.146350,-0.031390,-1.077616,-0.082176,-2.347128,-0.494519,2.244742,2.979406
0.275374,-0.028898,-0.272643,-0.603415,-1.740981,0.323558,1.209781,0.332576
-1.392005,-0.817914,-0.756332,-0.664839,-2.461835,-2.363594,1.080434,7.674086
1.095674,0.453362,-0.094133,0.346304,0.180647,0.466183,0.484303,-1.913833
0.628728,0.811425,0.565688,-0.491431,1.790681,0.146202,-0.819045,-2.351381
-0.776199,-0.054032,0.081466,-0.688324,-0.709129,0.272404,0.879866,2.290713
-0.062355,0.050796,0.034823,0.962694,-0.576868,0.453873,0.040207,-0.793699
-0.243741,-0.213641,1.164086,1.116649,1.322224,-2.464016,-3.570932,-2.077262
0.940246,-0.077533,-0.640833,-0.678591,-0.950092,-0.861472,1.136897,0.350823
-0.415723,-0.383675,0.829831,0.771991,0.543383,-0.054416,-0.958431,-0.728016
-0.875484,-0.005000,-0.204459,-1.197159,-0.116364,-0.004771,0.616269,1.582205
-0.087572,-0.200374,1.844862,-0.695184,0.575913,-0.775551,-1.197724,0.475871
-0.764490,1.180978,0.217234,-0.887348,2.539773,1.767157,1.232525,-0.485048
0.702786,-0.180045,-1.302572,-0.366353,-1.975982,0.175006,2.274425,1.892149
-0.070763,-0.713763,-0.263588,-0.001328,0.523552,0.391368,-1.200084,-1.355724
-0.870715,-1.282670,-0.916976,-0.918008,-1.550138,-1.968037,0.917503,3.819498
-0.539366,0.713575,1.568778,-0.319348,2.236772,0.028890,-1.740621,-2.014662
-0.345476,1.031261,-0.510377,-0.692271,-0.644587,0.344844,0.380684,1.666613
-0.237214,-0.877904,0.922654,0.169418,0.311829,-1.136605,-1.478430,0.479834
-1.208685,0.423680,0.704636,0.084875,0.946693,-0.717905,-0.708509,1.883712
-0.861602,0.362812,-0.842235,1.012925,-0.606656,1.377072,0.455423,0.282719
0.184618,-0.013034,-1.103404,-1.278403,-1.956017,-0.300258,1.885869,3.720305
0.921648,-0.839356,0.728370,0.825269,0.560345,-0.717717,-1.068241,-1.496177
-0.391090,0.345601,-0.243086,0.828474,0.756353,0.186311,-0.221098,-1.536105
0.053883,0.938735,0.014150,-0.395354,-0.414768,1.331425,2.946290,2.160260
1.689933,1.003313,0.124070,-0.271669,0.552333,1.905996,0.659687,-2.820068
