X0,X1,X2,X3,X4,X5,X6
-1.056049,-0.195106,1.485814,-0.501309,-0.057755,-0.109452,-1.800815
0.122566,0.268077,0.312993,1.471293,0.545422,2.065634,2.949097
-0.210598,0.031137,0.662398,0.058547,1.453843,0.008828,-0.659267
-0.134091,0.759816,0.690861,0.233972,0.569485,0.067741,-0.166479
-0.072152,0.801520,1.307799,-0.113550,-0.271669,0.604039,-1.373759
1.219685,0.005605,0.455015,-0.563270,-0.121042,-0.881326,-0.833669
0.533848,0.449199,2.013319,0.195056,0.683617,1.385725,-2.414699
0.033622,1.082185,1.167953,0.225227,-0.222774,-0.725363,-0.878896
0.107362,-0.016508,-0.344121,0.170512,0.561145,-0.027512,-0.336465
-0.940454,0.736565,1.016527,0.144720,-1.500314,0.000079,-0.612069
0.484789,-0.246974,-1.661026,0.040640,-0.867584,-1.110117,2.063454
-0.202237,0.314277,1.076800,-0.486730,0.406562,-0.127688,-1.749708
-0.613204,-0.923723,-1.292490,-1.269811,1.663717,0.973375,-0.521271
-1.002436,-0.755065,-0.671931,-0.405005,-0.446214,1.383233,-0.317176
1.463732,1.166124,1.210723,0.351920,0.454165,0.245715,-1.580681
-0.378404,0.130487,0.095292,-0.700541,1.098256,0.252540,-1.384300
0.672286,-0.088733,0.360670,-0.028572,0.363713,-0.359744,1.520931
0.248467,0.990208,1.696047,0.673541,0.009923,0.623290,-0.793315
0.951888,0.495906,-0.098286,2.030787,1.091200,-0.824483,2.027755
-1.239052,-0.096408,0.527956,-1.901093,-0.915881,-0.904350,-3.073751
1.002048,-0.332683,-0.286939,-2.106319,-1.591290,-0.273299,-2.020782
1.158620,0.463562,0.421728,1.831322,-1.049870,-0.252981,1.934201
-0.747274,0.465027,0.303477,-1.041393,-1.323053,0.526045,-0.985208
0.600650,0.233296,0.763171,-0.130295,-0.664467,0.471044,-0.168297
-0.733547,1.636716,1.391839,1.423420,-0.107456,-0.650264,0.852156
-0.259833,-0.593766,-1.682061,0.300552,-0.426135,-0.675230,2.000607
-0.778643,0.297576,1.238616,-0.621074,-1.862374,1.305551,-2.438050
