X0,X1,X2,X3,X4
-0.317856,-0.431547,-0.255494,0.282643,1.315702
-0.418374,1.178683,-0.701716,-0.509489,1.208880
0.418159,-0.717469,0.564596,0.298930,-0.524805
0.382820,0.047469,-0.927426,-0.314776,1.578920
-0.897808,1.746912,-1.317814,-1.658517,2.505152
-0.013759,-0.802270,-0.028947,0.854457,-0.738765
-0.372747,-0.044450,-0.814263,0.794840,0.683661
-0.260079,0.229240,0.292651,-1.095031,-0.032893
-0.505793,1.122270,-0.276398,-1.002975,0.647577
0.470693,-0.171164,-0.181138,-0.362575,-0.688707
-0.651549,0.791786,-0.606439,-0.219848,1.859208
-0.922265,1.219265,0.079793,-1.574967,0.656925
-0.272890,-0.063154,-0.514277,0.809458,1.836744
0.969515,-0.664299,-0.279723,0.830210,-0.814253
0.535939,-0.634196,0.529202,1.309302,-0.690205
0.750423,-0.450908,-0.345675,0.370015,0.436553
0.564817,-0.862343,0.449633,0.488817,-0.590263
-0.129419,0.144898,-0.516057,0.107417,0.864869
-0.035142,-0.382712,-0.125299,0.291504,0.670605
-0.145104,0.259945,-0.249810,-0.241652,0.955991
-0.658791,0.537413,-1.133247,0.222653,1.980960
-0.554161,0.335909,0.519287,-0.778890,0.294508
0.353377,-0.330018,0.276388,0.548497,-0.069346
-0.356357,-0.535695,-0.067828,1.037029,0.351768
0.036674,0.490058,-0.876225,-0.601510,0.417097
-0.534570,-0.007255,-1.037228,0.925658,2.527296
-0.181251,-0.119850,0.469444,-0.716906,-0.273662
0.268866,-0.626864,0.257356,0.366556,-0.949854
-0.838551,-0.079974,-1.153130,-0.322818,2.210488
-0.014691,0.451208,-0.044955,-1.341790,-0.776147
0.298747,-0.277835,0.205422,0.663913,-0.189750
-0.015467,0.046220,0.876422,0.663604,-0.958600
-0.482510,1.457073,0.508523,-0.948480,-1.002827
0.021188,-0.338712,0.313898,0.776823,-0.291437
-0.686176,-0.186814,0.888639,0.209697,-0.667689
-0.089223,0.326248,0.087606,-1.019650,0.116067
-0.479896,0.802134,-0.339050,-0.963106,0.648249
-0.362553,-0.775376,-0.100950,0.663721,0.003574
0.941329,-1.770066,1.208086,1.317151,-1.857870
0.583711,-0.305230,0.201008,0.662010,-1.512841
0.230351,-0.315675,0.087729,-0.840449,-0.738568
0.191619,0.216783,0.169433,1.226787,-0.313424
0.218421,-0.186707,-0.079586,-0.168450,-0.157257
-0.013655,0.157719,-0.819493,0.378868,0.568397
-0.113860,0.343514,-0.684306,-0.302550,0.341534
-0.299916,0.353191,-0.324815,-0.750539,0.158580
0.032892,-0.178885,-0.001914,0.078388,0.276469
-0.607696,0.266463,0.065667,-0.114615,0.608796
0.065718,0.420290,-0.323274,0.960764,0.734567
0.610334,0.348901,0.139654,-0.655756,-1.448553
0.312317,0.124180,0.194925,-0.046137,-0.182781
0.070093,-0.445978,0.652043,0.007260,-0.719671
-0.795110,0.286148,-1.272402,0.065003,1.872133
-0.247954,-0.446206,0.400521,-0.084896,-0.086513
1.185340,-1.279578,1.359413,1.291972,-2.383888
0.095118,-0.052649,0.180149,-0.409892,-0.254993
-0.459214,0.242844,-0.395296,-0.147638,0.239972
0.049931,0.446061,0.200952,-0.824537,-0.590425
0.156511,-0.260220,0.868554,0.342068,-0.854338
0.000389,-0.025298,0.414065,-0.527437,-0.362215
0.115439,-0.578508,-0.862327,1.578234,0.322703
-0.391646,0.774148,-0.023858,-0.675213,0.847880
0.883675,-1.105448,0.679114,-0.090748,-1.511967
-0.105448,-1.170066,0.238120,1.764365,0.061605
-0.018982,0.528472,0.463851,-0.797387,0.283145
-0.180561,-0.471197,-0.472031,1.188019,0.798154
0.780985,-1.440068,0.994619,0.917879,-1.947627
-0.168528,-0.549260,0.559792,-0.283099,-1.273370
-0.405338,0.640295,-0.475403,-0.762664,0.259799
0.360444,-0.938576,0.655076,0.890802,-1.670173
-0.483938,0.602062,0.678350,-1.292243,-0.977626
-0.710419,0.622941,-0.316259,-0.496929,0.966719
-0.152493,0.290471,-0.207946,-0.233035,-0.812268
-0.101665,0.855114,-0.521157,-1.326754,0.520999
0.681931,-0.060150,-0.507290,-0.722336,-0.191064
-0.616777,0.606317,-0.250416,-0.526307,0.965134
-0.106677,1.213885,-1.190247,-0.443752,1.536246
-0.253964,0.103232,-0.192159,-0.260453,0.601281
-0.611910,0.026106,0.275221,0.274772,0.632206
-0.442394,-0.227110,0.135192,0.102573,-0.127523
0.253039,0.006892,-0.728341,0.089803,0.169304
0.857158,-1.487176,0.630910,1.953854,0.024128
0.352180,-0.160448,0.422191,0.144582,-0.301580
0.707059,-0.333857,-0.185550,0.487811,0.007178
-1.461691,1.603684,-0.515262,-2.265395,1.141174
-0.116604,0.141781,-0.428929,-0.629125,1.129343
-0.047114,0.086230,0.658662,-0.781852,-1.555443
0.533843,-0.755400,0.335184,0.837060,-1.724726
1.171717,-0.628320,0.781510,0.152983,-1.500032
0.220103,0.055193,0.257526,0.286696,0.317278
-0.125964,-0.350786,1.048587,-0.170271,-1.527223
-0.316016,-0.848309,0.960845,0.397831,-1.232476
-0.104140,0.923219,-0.304084,-0.389298,0.122724
-0.682863,1.151460,-0.672550,-0.970528,0.062403
-0.730758,1.233467,-1.156467,-1.255085,1.943813
