X0,X1,X2,X3
0.312817,0.257169,0.206298,-0.035251
0.271514,-0.331709,-0.128528,-0.714462
0.116830,-0.036267,-0.521443,0.354794
-0.213393,-0.654255,0.355623,0.436461
-0.461065,-0.219127,0.140196,-0.532374
0.041251,0.474029,-0.446195,0.161211
0.273181,0.200145,-0.354333,-0.135978
0.204916,0.396122,0.121205,-0.578362
-0.096829,-0.139306,-0.625830,0.893617
0.383403,0.227559,0.150523,-0.447399
0.011803,0.134536,0.147297,0.382940
-0.008902,-0.823785,0.288146,-0.268582
-0.592096,-0.430514,0.233515,-0.624527
0.328487,-0.298313,-0.390639,-0.026000
0.071600,-0.169748,0.356713,0.381904
0.173114,0.093666,-0.343979,-0.427013
0.532462,-0.111031,-0.861424,0.112630
-0.320331,-0.089409,-0.122570,0.099618
0.054327,-0.155544,-0.309595,0.028495
-0.189676,-0.811009,-0.111212,0.883656
0.008413,0.238588,-0.063610,-0.232981
0.208295,-0.327760,-0.281255,0.408310
0.709852,-0.203591,-0.420578,-0.297706
-0.379202,0.621792,-0.153210,-0.350900
0.055137,0.024426,0.019140,0.141603
-0.164679,0.107175,-0.278094,0.145287
0.118914,-0.536123,0.386476,0.341904
0.050917,-0.214773,0.104927,0.009146
-0.139423,-0.587257,0.326018,-0.541652
0.130653,0.157761,0.390925,-0.256255
-0.244727,0.312538,-0.215948,0.213016
0.214734,0.085778,-0.784022,-0.218141
0.284866,0.071468,0.470953,-0.739271
0.088342,0.534335,0.682148,0.180435
0.456028,-0.298348,0.208944,-0.096355
0.748428,0.194564,-0.084560,0.543744
0.199794,-0.219824,-0.389104,0.484066
-0.043298,0.658225,0.316335,-0.899506
-0.311230,-0.015933,-0.509303,-0.033542
0.182865,-0.395068,-0.144039,0.339421
0.203687,0.272972,-0.541114,0.184332
-0.156535,0.517978,0.060652,-0.448444
0.216596,0.156024,0.807679,-0.031394
0.210675,-0.063677,-0.336472,-0.441831
0.160822,0.261293,0.336211,0.206220
0.000897,0.485340,0.155041,-0.028421
0.054619,-0.398577,-0.276728,0.682556
0.242780,-0.043294,0.182965,-0.064953
-0.219631,-0.715676,0.156315,-0.033463
-0.246525,0.370331,0.044433,-0.962910
0.014309,-0.653459,0.059325,0.332297
0.105916,-0.109154,-0.475939,-0.287544
0.106948,-0.090893,-0.061105,-0.564933
-0.244804,0.477739,-0.148009,-0.233997
0.077876,0.434853,-0.258155,-0.024361
-0.088934,-0.243334,-0.847467,0.641274
0.294953,0.140343,-0.372303,0.136296
-0.022746,0.096061,-0.206334,0.285946
0.462022,-0.162050,-0.170419,-0.223302
0.400480,-0.206037,-0.363215,0.936579
0.096367,0.033195,-0.262866,-0.242236
-0.098380,-0.202134,-0.254449,-0.156581
-0.032630,-0.287613,0.709648,-0.683977
-0.148141,-0.090799,-0.237333,-0.165933
-0.360973,-0.030445,0.015263,0.039144
0.032184,0.450078,-0.057113,0.224405
0.308575,0.581669,-0.097736,0.083112
1.200493,-0.347141,0.493117,0.279443
0.152789,-0.043434,0.519204,-0.389890
-0.140133,-0.284956,-0.015220,-0.339982
0.660384,-1.099136,0.029195,0.467434
0.578945,-0.364426,-0.065017,0.503639
-0.133244,-0.469480,0.104180,0.296248
-0.293882,-0.513928,-0.139306,0.238596
0.062643,-0.255560,-0.106293,-0.253061
-0.358142,-0.502928,-0.033470,0.503723
-0.010751,-0.110314,0.108158,-0.077822
-0.415317,0.059480,-0.067424,0.327642
-0.182062,-0.231099,0.454673,-0.186887
0.001531,-0.477480,0.158976,0.276916
-0.038429,0.085813,-0.072593,0.187336
0.024927,0.442331,1.078793,0.222577
0.077017,-0.132649,0.423513,0.443535
-0.185463,-0.275527,0.119512,-0.179445
0.101510,0.298594,0.159670,-0.524705
0.383153,-0.014317,0.215617,-0.266213
0.147580,0.338687,0.419309,0.139178
0.265917,-0.050005,0.535672,0.290949
-0.138438,-0.516856,-0.168940,0.265979
0.011469,0.402932,-0.709522,0.248121
0.520118,-0.462774,-0.284372,-0.076868
-0.328284,0.282396,-0.155212,-0.443480
0.221943,-0.042662,0.069758,0.475251
-0.009254,0.807694,0.116129,-0.353267
0.486963,-0.183323,0.122762,0.461008
0.234640,-0.300590,0.516966,0.003943
0.219838,-0.065595,-0.232873,-0.396707
0.063790,0.119567,0.460066,0.333342
0.289545,0.006774,-0.004008,0.145406
-0.558272,-0.614860,0.270990,-0.270546
-0.072933,0.578041,0.330686,-0.146835
-0.040940,0.277407,-0.077115,-0.219924
-0.232602,0.076779,0.130633,-0.149466
0.124851,-0.068668,-0.258919,0.288230
-0.282758,0.189095,-0.392989,0.366972
-0.481802,-0.319184,-0.138618,0.268508
0.282095,-0.070813,-0.450012,-0.234174
-0.511276,0.401144,-0.127806,-0.355488
0.409317,0.137080,0.291497,0.072890
-0.365281,-0.353313,-0.237821,-0.067399
-0.105034,0.343309,0.125917,-0.431510
-0.271649,-0.269465,-0.083562,0.053081
0.113119,0.067088,0.052559,-0.418135
0.270549,0.052467,0.555614,0.249278
-0.208201,0.111046,0.695868,-0.263717
-0.130352,0.344048,-0.443925,-0.292265
0.213697,-0.562501,0.142446,-0.365349
0.274272,-0.287971,-0.622300,-0.063000
-0.204222,-0.371056,0.397517,0.003289
-0.525985,-0.386645,0.064948,0.018177
0.390419,-0.685348,0.095336,-0.214593
-0.138616,0.112808,-1.023190,0.379493
0.562112,-0.905697,-0.066817,0.343042
0.105841,-0.300843,0.635604,-0.061991
-0.476267,0.288549,0.179278,0.048841
0.036515,0.642100,0.047221,-0.160395
-0.457645,0.675638,0.468854,0.178511
-0.693983,0.342030,0.189054,0.074674
-0.334278,-0.506585,-0.466795,0.079368
0.680984,0.068146,-0.296423,0.330269
-0.843018,0.075503,0.866950,0.212468
0.267074,-0.779473,0.266288,-0.290455
-0.370980,-0.561624,-0.061783,-0.011596
0.344178,0.837150,-0.242356,0.261630
0.260432,-0.656372,0.174481,-0.442061
0.750560,0.017494,-0.069402,0.678105
0.509022,0.873159,0.752907,0.083773
0.074401,-0.177481,0.015179,0.220364
0.008947,0.598539,0.686453,-0.061673
-0.229977,-0.068911,0.038355,0.095756
-0.467714,-0.428489,-0.124720,0.069034
0.596548,0.060786,-0.499781,-0.026567
0.059901,-0.395321,0.626409,0.217045
-0.233454,-0.056679,0.024170,-0.009683
-0.667111,-0.118384,0.352002,-0.135260
-0.023175,0.385971,0.289026,-0.254558
0.493166,0.024237,-0.009507,0.542403
-0.344330,0.303830,0.701933,-0.526610
-0.567631,0.034578,-0.017566,-0.417613
-0.000158,0.183741,-0.651019,-0.070666
-0.073932,-0.047926,-0.243359,-0.320219
-0.854215,-0.243265,1.021116,-0.037187
-0.086986,0.141547,-0.048046,-0.241548
0.132633,-0.010108,0.325458,0.181439
-0.167696,-0.006315,0.335226,-0.167562
0.100261,0.233840,-0.442788,0.262871
0.096495,-0.297651,-0.013472,-0.230501
-0.273966,-0.420199,0.361035,0.524577
-0.455401,-0.554530,0.422235,0.085224
0.113025,-0.217537,-0.328250,-0.019830
-0.671182,-0.320915,0.042627,0.971227
-0.236267,-0.133355,-0.382942,0.206554
-0.082711,-0.547769,-0.383638,0.153954
-0.087793,0.025791,-0.612646,0.459095
-0.368882,-0.078124,0.477327,0.163769
0.009400,0.294063,0.040426,-0.305855
-0.697347,0.664319,-0.361674,-0.275333
-1.045397,0.479965,0.638727,0.405328
-0.289375,-0.506219,-0.332624,0.487852
-0.193924,-0.642715,-0.343941,-0.709840
0.564367,-0.240301,-0.419308,0.099164
-0.840865,-0.047901,0.047961,-0.391648
-0.079685,0.112424,0.289391,-0.174477
0.312188,-0.024999,-0.367029,-0.167245
0.149799,-0.127528,-0.070865,-0.368808
0.100280,-0.159391,-0.017411,-0.121032
-0.310707,0.146648,-0.288379,0.429084
-0.194705,-0.204769,0.201392,0.469692
-0.006416,-0.351589,-0.717697,0.093013
0.145988,-0.045196,-0.365739,-0.278324
-0.256068,0.376087,-0.303450,0.254090
0.227633,0.063654,-0.187082,-0.315948
0.064636,0.187791,0.580845,-0.091066
0.023702,-0.070394,0.241549,0.335704
0.348367,-0.132365,-0.308534,0.058399
-0.407966,-0.084289,-0.238148,0.099156
0.096518,0.759422,0.159738,-0.667377
0.068060,0.251464,-0.150438,0.378539
-0.089164,0.803457,-0.446480,0.205716
-0.602625,0.502459,0.400764,-0.197120
0.737375,0.554819,-0.031830,0.026492
0.063487,0.329219,-0.126932,0.172142
0.347537,0.038287,-0.504097,-0.367388
0.251493,0.114430,0.212753,-0.544046
-0.176548,0.267809,0.066744,-0.571003
0.225782,-0.449662,0.486921,0.122980
0.443998,-0.160903,0.100396,-0.115929
-0.411755,-0.669837,0.505004,-0.115147
0.317903,-0.150546,-0.382648,-0.282308
-0.284789,0.250001,-0.187183,-0.591852
0.085342,0.248025,0.206363,-0.010580
-0.573998,-0.268279,0.065364,-0.155540
0.085439,-0.366942,-0.374488,-0.218038
0.136770,-0.058413,-0.090484,0.145265
-0.498293,0.127305,-0.061673,0.421954
0.044276,0.500850,0.056745,-0.204585
0.481855,0.215326,-0.136084,-0.677860
0.006000,-0.338100,-0.588010,-0.106619
0.235724,-0.552207,-0.377982,-0.634628
-0.087469,0.156696,-0.542214,-0.455292
0.126788,0.173133,0.328274,0.317611
0.117780,0.195966,-0.512111,0.157671
0.000720,-0.096942,0.635170,0.320370
-0.212670,0.235647,-0.214125,0.503564
0.308421,-0.163439,0.274688,-0.456288
0.450296,-0.216506,0.365147,-0.219683
0.787598,0.276558,0.496600,0.831265
0.283821,0.216777,0.259004,0.391602
-0.230953,-0.304875,0.020776,0.480015
0.647823,0.242528,-0.798185,0.074092
0.857920,-0.537582,0.294751,-0.450380
-0.567054,-0.038562,-0.264978,0.148263
-0.204426,0.838448,0.065062,0.092452
-0.450064,-0.547394,-0.284598,-0.233958
0.110930,-0.514511,0.056681,-0.061543
0.053880,-0.548142,0.205383,0.051312
-0.080962,0.419222,-0.102368,0.005442
-0.454598,0.319513,0.144967,0.580477
-0.625029,-0.418909,-0.209965,-0.411928
-0.150633,-0.234592,-0.685624,0.424926
0.764784,-0.210944,0.240870,0.147306
0.557232,0.777928,-0.019868,0.516855
0.580987,0.260476,-0.196009,-0.164093
-0.952125,-0.455995,0.297778,0.220826
0.060569,-0.097011,-0.618009,-0.529683
0.853170,0.413069,0.025625,0.276579
-0.253140,0.239016,-0.738978,0.183891
0.014412,-0.205986,-1.050776,0.307775
-0.010856,0.016132,0.159684,-0.108966
0.074313,0.020251,0.224211,0.072299
0.052919,0.135102,-0.324625,0.627471
0.467429,0.574923,-0.087862,0.295327
-0.184348,0.084959,-0.596563,0.262403
0.006801,-0.314568,-0.167397,-0.352684
-0.507814,0.022459,0.469145,-0.193487
-0.263094,0.014829,0.517790,0.259962
0.032325,-0.099921,-0.126935,-0.036968
0.162842,-0.110020,-0.236880,-0.560615
0.095910,0.276796,-0.158676,0.036811
0.027746,0.164569,-0.338557,-0.264535
-0.346123,-0.405840,-0.165043,0.240697
-0.044401,-0.009303,0.035630,-0.202221
0.061829,0.377504,0.119431,-0.115276
0.134942,0.431623,-0.238742,-0.058343
0.282110,0.008258,-0.420273,0.483974
-0.137697,-0.565696,0.459314,0.218732
-0.115660,0.029662,-0.321100,-0.000480
0.323428,0.267010,-0.388924,0.297714
0.029725,-0.051641,0.414840,-0.911802
-0.166742,0.332143,0.656936,0.009267
-0.270795,-0.202459,-0.528260,0.199617
0.378767,0.054599,-0.078772,0.114911
0.232051,0.302160,-0.196099,-0.281830
-0.129242,0.108554,0.304242,0.079138
-0.065078,0.273292,0.012358,-0.058452
0.141060,-0.723665,0.158057,0.398772
-0.489712,-0.505238,-0.048160,-0.206140
0.669148,0.245208,0.343062,0.695315
-0.457153,0.078895,-0.212676,-0.146171
0.483430,-0.622253,-0.432016,-0.006500
-0.116846,0.177890,0.361631,-0.224551
0.297809,-0.062024,-0.021351,-0.346467
-0.058011,-0.267764,0.391190,-0.314670
-0.373744,0.017791,0.026861,0.255979
0.005619,-0.000444,0.211421,0.398292
0.254126,-0.380487,0.543118,-0.678826
0.375850,-0.366240,0.096811,-0.219857
0.187252,0.089356,-0.694913,-0.171811
-0.145122,-0.642069,0.165064,0.037474
-0.300186,0.201451,-0.114862,-0.340211
-0.418958,-0.808258,0.786787,0.342136
-0.290977,-0.104206,-0.582372,-0.144010
0.556582,-0.069446,0.358139,0.530632
0.353287,-0.305131,0.072838,-0.668329
-0.443922,0.011250,-0.060273,0.133785
-0.774887,-0.215251,0.106326,0.447862
-0.601383,-0.329827,-0.226889,-0.285681
-0.043147,-0.100921,0.149593,-0.126034
0.413327,0.459071,-0.420439,-0.953831
0.286554,-0.055371,0.332148,-0.047860
0.032471,-0.208296,0.636378,0.058641
-0.468239,0.033430,-0.184354,-0.102730
0.063713,-0.034931,0.082828,-0.269294
0.024933,-0.120979,0.558606,-0.060749
0.246577,0.414601,0.054813,-0.192322
0.086739,0.857410,0.445305,-0.274420
-0.762770,0.496521,0.037402,-0.267955
-0.817125,0.665726,-0.063442,0.386918
0.134361,-0.397280,0.132162,-0.175801
-0.669860,-0.291293,-0.723432,-0.514765
0.007790,0.535898,0.282222,-0.343311
-1.001141,-0.148288,-0.136275,0.530840
0.227662,0.222177,0.366185,0.217153
0.492557,-0.121609,0.072388,-0.081411
0.327343,0.212180,0.122279,0.251224
0.040555,0.030211,-0.065023,-0.015512
0.173066,-0.429921,1.102885,-0.200936
-0.284790,-0.012253,-0.016356,0.494446
0.033532,-0.494081,0.487632,0.351340
-0.439003,0.341815,0.928122,-0.127124
-0.339216,0.148710,-0.303873,0.195896
0.312951,-0.048405,-0.487198,0.246628
0.071321,0.030703,0.172112,0.246362
-0.726034,0.035972,-0.305476,-0.130083
0.057483,0.070382,0.051428,-0.338331
0.074873,-0.673308,0.103004,0.292144
0.228354,-0.129311,-0.233330,0.304368
-0.410234,-0.410566,0.255412,0.221469
-0.055486,-0.223504,-0.035146,-0.176104
0.382631,0.242621,0.316112,0.140677
0.292023,0.751322,0.267287,0.135380
-0.347264,-0.140450,0.445774,-0.539847
-0.283389,0.047162,0.492036,-0.134867
0.055119,0.343007,0.293297,0.081064
0.041008,0.399040,0.139364,0.146571
-0.025380,-0.117415,0.448837,0.061793
0.612139,0.352147,-0.572550,-0.562020
0.452237,0.438814,-0.626796,0.412147
0.422322,0.352277,-0.839650,-0.139530
-0.036798,-0.387252,0.120464,-0.301348
-0.059636,-0.059879,-0.102845,0.424796
0.263822,0.037688,-0.301304,-0.345294
-0.058556,0.228330,-0.252130,-0.282739
-0.037699,0.175070,0.138536,0.124686
-0.277553,0.218201,-0.598196,-0.220614
-0.319558,-0.143480,-0.043152,0.692640
-0.071175,-0.761660,0.250527,-0.167095
0.126877,-0.099190,-0.121056,-0.142809
0.485647,0.109207,-0.035574,0.188164
0.412286,0.790271,0.566136,-0.688462
-0.354088,0.066453,-0.328483,0.008402
-0.117977,-0.267320,0.478135,0.264550
0.524816,0.586682,-0.517239,-0.345838
0.323011,0.121845,-0.374886,-0.024300
0.360530,0.604511,-0.447184,-0.174451
-0.367933,-0.004315,0.417990,-0.304053
0.084213,0.345553,-0.054272,0.137722
0.121268,0.021922,-0.121777,0.618647
0.089295,0.272885,0.432687,-0.149784
0.346264,0.054659,0.089507,0.531614
-0.457281,-0.493111,-0.000183,0.020195
-0.137620,0.333714,-0.043494,0.265397
-0.205405,-0.184932,0.007259,-0.563366
0.469662,0.114548,0.325507,0.423866
0.143732,0.379088,0.309034,-0.388272
0.354862,-0.531672,0.670774,-0.216267
-0.257101,0.296049,0.328143,-0.228877
-0.512620,0.277403,-0.084775,-0.761603
-0.403088,0.133011,-0.285719,0.206517
0.442605,0.197199,0.237038,-0.444087
0.387962,0.059831,-0.020204,0.687701
0.177175,-0.206838,-0.305588,0.112586
0.190087,-0.405496,0.341999,-0.141481
-0.023972,0.548584,-0.137811,0.035838
-0.208093,0.130868,-0.219046,-0.652303
0.022626,-0.241512,0.222809,-0.324126
-0.567322,0.339138,0.028340,0.350271
