X0,X1,X2,X3
-0.459673,-0.908867,-0.438398,0.358260
0.378348,0.650897,-0.399574,-0.461471
0.915528,1.039756,1.337515,0.140867
-0.318359,-0.240018,-0.070222,0.124890
-0.514160,-0.031252,-0.178320,0.083431
-0.687877,-0.809905,-1.085207,0.809494
-0.485246,-1.468761,-0.523769,-0.012984
0.461146,0.352041,-0.197770,0.015501
-0.423797,-0.139971,-0.149012,0.573696
-0.462641,-1.020227,-1.571482,0.293065
0.098565,0.107384,-0.558196,0.139099
0.029179,0.969826,0.481594,0.306417
-0.049808,0.018294,0.525110,0.114111
-0.698041,-0.839295,-0.713162,-0.131860
0.601864,0.459716,0.686236,-0.314661
-0.616001,-1.158698,-1.478131,-0.549417
0.285918,-0.051482,0.016259,0.113971
0.134450,0.083635,0.442521,0.529375
-0.572386,-0.315337,-0.024470,-0.263325
0.560808,0.658422,0.770396,1.365784
0.140468,-0.126406,-0.212143,-0.673180
-0.143881,0.789456,-0.267567,-0.204213
0.884130,1.198997,1.073751,0.791649
0.213824,0.642883,-0.159912,-0.738702
1.664545,3.026052,1.627664,0.059264
-0.350154,0.024011,-1.393778,-0.134967
-0.688861,-1.635642,-1.302549,0.062639
-0.277316,0.036336,-0.028097,-0.993620
-0.761492,-1.574614,-1.164956,-0.296979
-0.070421,-0.387954,-0.226126,0.344452
0.087790,0.707034,0.764577,0.351665
-0.633615,-0.646460,-1.390022,-0.268851
-0.250796,-1.068986,-0.465277,0.289924
-0.633881,-0.590618,-1.209415,-0.247777
-0.009869,-0.352335,0.218800,0.454676
-0.258890,0.093830,-0.262306,0.016144
-0.824349,-1.051552,-1.164840,1.118433
0.634053,0.967041,1.039349,-0.049620
-0.026516,-0.356310,-0.601461,0.112537
0.045370,-0.129371,-0.022016,-0.426081
-0.495360,0.515643,-0.562616,0.173005
0.581666,1.007342,0.643353,-0.740044
-0.297162,-0.903532,0.267833,-0.178466
-0.248235,0.085625,-0.394898,0.127501
0.516445,1.643564,1.108176,-0.219603
0.732931,1.388649,0.614932,-0.106133
0.570674,0.892458,0.877373,-0.022806
0.197013,0.557353,-0.745881,0.000883
0.354219,-0.006288,1.402894,-0.636306
-0.195545,0.286085,-0.700923,0.272306
0.499476,0.985595,0.912821,0.056440
-0.112853,-0.902102,-0.197935,-0.360041
-0.673077,-0.835816,-0.484681,-0.015728
-0.314885,-0.383957,-0.396287,-0.435474
0.171401,0.162059,0.345160,-0.087235
0.517563,0.264019,-0.197779,-0.410717
-0.907321,-0.890593,-1.079474,-0.223092
0.008836,-0.711792,1.239305,-0.000587
0.267860,0.242050,0.559912,-0.027200
0.059021,0.832563,-0.020288,0.478199
0.647380,1.771824,0.272170,0.019840
0.764566,1.576554,1.682518,0.604169
0.309468,0.291977,1.056856,-0.515940
-0.805318,-0.400092,-1.728893,-0.323798
-0.043081,-0.463022,-0.771950,0.022060
-0.383431,-0.742525,-0.072425,0.755262
-0.836123,-1.202168,-1.032891,0.245595
0.406281,0.879817,0.338974,0.704559
0.323120,1.745760,1.530406,-0.071293
0.697219,1.887626,1.597375,0.919358
-0.711254,-0.839471,-1.727892,0.715477
-0.522557,-0.660485,-0.445727,-0.201860
-0.465817,-0.770090,-0.600653,-0.031808
0.272048,0.549671,1.005250,0.677345
1.015289,1.899546,1.579051,-0.339588
0.176061,0.456925,-0.110655,-0.777585
0.158402,0.049422,1.209280,0.487447
0.487025,0.699799,0.730156,-0.073604
-0.258718,-0.370855,-0.140664,0.181606
0.081955,-0.186078,-0.005645,-0.256154
-0.127901,-0.465372,-0.020475,1.056591
0.096191,-0.004024,0.704968,-0.580644
0.262204,-0.310544,0.287076,0.703055
0.616128,1.415141,-0.308406,-0.471280
-0.682116,-2.357582,-0.662892,-0.630385
0.715876,0.683265,0.200390,0.224031
-0.227820,-0.701990,-0.141896,-0.043990
-0.330226,-0.955198,-0.533653,-0.243994
-0.476661,-0.043565,0.025798,-0.128233
-0.684321,-1.499160,-1.899744,0.391273
-0.002486,0.353605,-0.145186,-0.545230
-0.284041,-0.765932,-0.846523,0.630397
-0.652701,-0.033547,-0.945792,0.276246
0.527426,0.854054,0.360032,-0.526975
-0.654700,-1.988086,-0.673542,-0.585040
0.364012,0.340493,-0.016689,0.244324
-0.308942,-0.022928,0.292902,-1.169280
0.308145,0.673504,-0.245508,-0.317949
-0.333294,0.231719,-0.855070,-0.074919
0.065015,-0.065053,-0.107536,-0.176134
0.019620,-0.099926,-0.052207,-0.097410
0.507532,1.147230,1.216924,0.186429
-0.356949,-1.344989,-0.454619,0.897392
0.346626,-0.254888,-0.388520,-0.104769
0.129354,0.557345,0.181112,-0.145393
-0.039296,-0.441222,-0.062819,-1.389491
-0.396592,-0.195742,-0.140813,0.505803
0.191914,-0.069451,0.748944,-0.341998
-0.385761,-1.322574,-0.454167,-0.826838
-0.357444,-0.712385,-0.007385,0.355441
-0.617377,-1.843192,-0.412998,0.763591
0.288719,1.254749,0.292933,0.321798
0.149561,0.434137,0.655141,0.113827
-0.011529,-0.198066,0.488038,1.087647
0.873789,0.852559,1.120970,0.614886
0.460315,0.312527,0.204042,-0.127863
0.445407,0.941976,0.178005,-0.329174
-0.206321,-0.556210,-0.542723,-0.191017
-0.258906,0.093533,-0.957055,0.994522
-0.008715,0.197112,-0.356648,-0.711701
-0.641620,-0.851947,-0.445873,-0.397409
-0.140974,-0.652670,-0.422375,0.249073
-0.352098,-0.052603,-0.443407,-0.039168
0.217866,0.537402,-0.005609,-0.595212
0.722386,0.749775,0.765543,-0.902874
-0.860511,-0.429294,-1.699100,-0.265520
0.066303,-0.269217,-0.110924,-0.205498
0.035378,-0.413303,0.478659,-0.909047
-0.107257,-0.252419,-0.216879,-0.696539
0.391928,0.169385,0.762266,0.134619
0.086334,0.164018,-0.064564,-0.452923
0.196684,0.832275,0.535975,-0.378863
-0.630571,-1.342687,-0.929031,-0.077073
0.102272,-0.069643,0.384534,-0.403886
1.755088,1.737367,3.961127,0.898805
0.273240,0.607491,-0.031715,-0.322256
-0.165042,-0.575746,0.138256,0.013698
0.110907,0.314409,0.546444,-1.005655
0.080715,0.619127,0.182203,-0.597731
-0.265430,-0.550984,-0.099013,0.150391
0.513810,-0.162181,0.048526,0.184971
-0.163248,-0.107549,-0.244172,0.407608
-0.618150,-1.295730,-0.349693,-0.449147
-0.020040,0.217816,0.208964,0.494529
0.595033,0.561664,0.608565,0.686018
-0.348353,-0.605646,-1.026644,-0.245656
0.463114,1.352105,1.046749,0.748866
-0.032204,-0.607087,0.070855,-0.577663
-0.704093,-0.908911,-0.974203,0.631313
-0.413792,-1.531433,0.211619,0.606948
-0.562798,-1.104619,-0.964751,0.294197
-0.409011,-0.434427,-1.226945,0.428696
-0.046236,0.242518,0.475193,-0.113487
1.579448,3.514903,2.598273,-0.688641
-0.028657,0.055850,0.524166,-0.294777
-0.513934,-1.144873,0.322619,0.413172
0.866005,1.445913,0.961601,0.563412
0.237214,-0.195858,-0.664102,-0.560652
0.170635,0.059250,-0.047950,-0.484744
-0.410235,-1.212675,0.214105,0.461470
0.617326,0.586747,0.656751,-0.437456
1.036295,1.340039,1.892597,0.134080
0.477943,0.807922,0.191096,0.303799
0.436567,-0.638742,0.587539,-0.278887
0.087137,0.536019,0.873993,-0.307729
-0.758090,-1.484520,-1.131341,-1.013459
0.572929,1.002912,0.628646,0.414679
-0.129973,-0.624410,-0.340756,0.596450
0.154428,1.575570,0.962068,0.757686
-0.485558,-0.286689,-0.596624,0.714693
-0.317043,-0.485783,-0.061120,0.413354
-0.395714,-0.322064,-0.932387,0.137960
0.048805,-0.007308,-0.452321,-0.088244
0.084786,-0.135624,0.074131,0.378915
0.321899,0.533319,0.555776,0.072496
-0.003096,0.468309,0.226589,-0.148176
0.627799,1.274315,0.780488,0.282568
-0.516771,-0.538665,-1.297195,0.170015
-0.780163,-1.271315,-1.240472,0.035521
0.572801,0.862218,1.059545,0.265923
-0.858800,-2.295323,-1.593716,0.298104
0.137093,-0.009643,0.336163,0.044961
0.944547,1.297980,1.037481,-0.312549
0.947236,1.500233,1.581032,-0.693939
0.898651,1.014467,2.190906,-0.619474
-0.714332,-1.188204,-1.442752,0.013309
0.469031,-0.512398,0.877367,0.799858
0.642084,1.537867,1.800795,1.174638
-0.405024,-1.106003,-0.210987,0.850948
1.052846,1.466696,1.129423,-0.267350
0.025362,0.252923,-0.514433,0.856474
-0.398817,0.010198,-0.618900,0.195934
-0.972950,-1.937304,-1.089368,-0.345235
0.691253,0.822843,0.831607,0.206727
0.353382,1.603022,0.839618,0.181246
0.174359,0.476348,0.959811,0.690289
-0.284584,-0.090029,0.246535,0.268480
-0.914133,-2.347570,-1.119218,-0.073328
0.659587,0.500014,0.592611,-0.210580
-0.202577,0.389161,-0.149350,-0.268810
0.345501,-0.151658,0.218954,-0.071649
0.184123,-0.403380,0.510200,-0.007652
-1.412495,-2.080092,-2.692731,-0.674956
-0.870362,-0.450858,-1.423716,0.020285
0.048330,0.732855,-0.008784,-0.011795
-0.055437,-0.672665,0.435007,0.396539
0.803371,0.853894,1.660760,-0.691304
0.480112,0.415326,1.670806,0.113690
0.012808,0.200952,0.476470,-0.553677
-0.455370,-0.909993,-0.688885,-0.413820
0.139019,0.649854,-0.372037,-0.691023
-0.194287,-0.241102,0.191827,0.205036
0.675653,1.979929,0.604440,0.273117
0.127097,0.410394,0.137903,0.826599
0.148851,0.328282,0.939380,-0.219784
0.445340,0.338453,0.392421,0.297217
1.377614,1.908392,1.523377,-0.174002
1.424356,2.288466,3.096793,-0.245222
-0.461460,-0.369499,-0.899047,0.819738
-0.155353,-0.273511,-0.080849,1.106017
-0.054469,-0.066936,0.018992,0.105949
-0.498979,-0.446653,-0.402984,0.097578
0.416574,0.776987,0.591146,-0.424532
0.277390,0.226422,-0.094541,-0.000119
-0.627858,-0.097098,-0.037893,1.191527
-0.232401,-0.458494,-0.430173,-0.385921
-0.187320,-0.162099,-0.475365,-0.076609
0.058196,1.024432,0.034868,0.606339
0.460247,-0.227731,1.043542,0.167597
-0.435381,-1.330263,-0.967475,-0.631318
-0.603547,-1.711655,-0.668498,0.248803
0.530148,1.372261,0.704533,-0.185989
-0.501724,-0.955241,-0.785114,-0.094499
-0.475197,-0.295576,-0.550371,0.421932
-0.396182,-0.354819,-0.897546,-0.250674
-0.149433,-0.160835,-0.314665,0.289072
0.443027,0.889022,0.375975,-0.788862
-0.283011,-0.513764,-0.825778,-0.222077
0.201262,-0.141534,-0.182111,0.201354
0.060031,0.055684,-0.900130,-0.571930
-0.258526,-0.645846,-1.086069,0.828769
-0.416962,-0.150563,-0.605722,-0.369871
-0.814297,-1.188225,-1.645247,0.040674
-0.082526,0.107657,-0.334669,-0.140607
-0.335723,-1.107442,-1.189852,-0.384469
-0.102567,0.060351,0.059746,-0.730453
-0.466091,-0.557539,-0.006646,0.461609
0.282226,0.227610,0.099722,-0.948970
-0.244609,-0.694456,-1.380642,-0.687444
0.263301,0.081598,0.579252,0.132122
-0.632967,-0.651171,-0.458858,0.119778
0.120021,0.580226,0.082924,-0.189750
0.334183,0.527205,0.225880,-0.307703
-0.101604,0.700069,0.034392,-0.336014
0.350102,1.661173,0.167187,-0.515729
-0.343441,-0.489160,-0.416345,-0.784791
0.066461,0.691008,0.693662,-0.621144
-0.190258,-0.058060,-0.045579,1.043876
-0.182851,0.081536,-0.530337,-0.176908
-0.757647,-0.706504,-1.060841,-0.244110
0.735054,1.351918,0.577701,-0.179929
0.060803,0.075403,0.098276,-0.040000
0.019207,-0.366154,0.063446,-0.256315
0.328082,1.402204,0.364886,0.180802
-1.235611,-1.927813,-1.817156,-0.115686
-0.872730,-1.158826,-1.384240,-0.513696
-0.032560,0.475315,-0.089518,-0.124115
0.183428,-0.574643,-0.120944,1.372941
0.581163,0.971472,1.388914,0.145015
-0.094597,0.357977,0.019596,0.338462
-0.021833,0.121844,0.786614,-0.410216
-0.063060,-0.380503,-0.218782,-0.568175
-0.298255,0.055672,-0.433215,0.576967
0.164328,-0.190194,0.225164,0.359773
0.678624,1.234343,1.700027,-0.713070
0.120712,-0.599857,-0.614975,-0.215895
0.748894,1.386488,0.901839,0.085087
-0.504840,-0.818169,-0.643755,-0.337615
-0.348198,-0.536161,-0.663972,0.252292
0.304486,0.697913,0.776790,-0.152878
0.458721,0.583658,0.741296,0.569634
0.295199,0.917895,0.624986,0.203730
-0.477160,-0.768828,-0.436308,-0.036928
