X0,X1,X2,X3,X4
1.045701,0.714124,-1.167801,1.015777,1.351631
-0.423426,0.553227,-0.819325,1.223337,1.294238
-0.313699,-0.274265,1.027392,-1.499154,-1.176487
-1.048015,-0.081484,-0.017110,-0.038368,-0.027403
-1.127963,-0.055203,0.226677,-1.144651,-0.612647
-0.683569,0.468695,-0.237831,0.622853,0.905457
-0.375709,0.897953,-1.054672,2.112866,1.911252
-0.398532,-0.238123,-0.165637,0.021035,0.565421
0.103807,0.410779,-0.621321,0.420749,0.803133
0.373140,0.573782,0.088792,-0.111061,-0.184114
0.488953,0.657141,-0.677572,0.689674,0.894582
0.152949,0.391133,-0.736354,1.458254,1.378823
-0.414509,-0.155733,0.441450,-1.239769,-0.039864
0.153156,-0.155235,0.474827,-0.220930,-1.919756
0.009411,0.697145,-1.000502,1.192722,1.682470
-0.667700,0.442800,-0.403109,0.605505,0.600508
-0.102727,0.187673,-0.035817,0.189293,-0.346604
0.291297,0.067653,0.463098,0.215695,-0.381836
-0.011974,-0.384587,0.612124,-1.041805,-1.049324
0.504175,-0.681226,1.193400,-1.698793,-2.031419
-0.374274,0.076793,0.049483,-0.238650,-0.897809
0.070887,-0.311833,0.795703,-0.935571,-1.671351
0.604902,1.082069,-1.000672,0.677971,1.189074
-0.105535,-0.453561,0.315798,-0.153929,-0.323797
-0.085707,0.745168,-0.972096,0.732937,0.313838
0.577343,0.491067,-0.271776,0.574717,1.365006
0.221928,-0.197387,-0.683370,0.914648,0.930907
-0.178072,-0.324506,-0.189430,-0.361565,-0.171086
0.113456,-0.728196,1.315194,-1.363766,-1.975500
0.723406,0.419783,0.038837,0.203294,-0.051420
-0.829874,-0.063943,0.060303,-0.028198,-0.492997
0.173620,-0.032082,-0.776240,2.082469,2.184002
-0.105268,1.336961,0.096388,-0.311463,-0.463338
0.590290,0.300327,0.331371,-1.018644,-1.435210
-0.297961,0.010544,0.332702,-0.325151,-1.165943
0.139976,-0.222261,0.017821,-0.444700,-0.625212
-0.575727,-0.320997,0.346563,0.149694,-0.643212
0.123443,-0.026978,-0.156471,-0.520792,0.337808
0.403231,-0.440376,0.625018,-1.350789,-1.941592
-1.209761,-1.026825,1.478823,-1.746306,-3.160237
-0.466723,0.086091,-0.151397,-0.088698,0.167992
-0.119757,0.031659,0.102675,-0.334758,-0.811343
0.468878,-0.476511,0.554555,-0.935216,-1.079106
-0.341207,-1.200480,1.111428,-1.829770,-1.956879
0.092381,-0.410507,0.773611,-1.182024,-0.405246
-0.294390,-0.100523,-0.043642,-0.278225,-0.225672
-0.065520,-0.261798,0.022207,0.657227,1.445025
-0.060199,-0.480893,0.548137,-0.133836,-1.286702
0.490865,-0.346196,0.303530,-1.239500,-1.326481
-0.573298,0.474112,-0.224227,0.032872,0.390579
0.385816,0.631052,-1.719094,3.004248,2.378853
0.415496,-0.091305,-0.208006,-0.067487,-0.417246
-0.677190,-0.540031,0.243637,-0.086937,-0.430184
-0.318248,1.258513,-1.285778,0.558836,0.607227
0.250322,-0.649800,-0.459107,0.843116,1.087863
-0.560315,-0.334950,-0.043154,-1.169847,-0.592750
-0.066252,0.404731,0.005700,0.032702,0.099413
0.993106,-0.868378,1.336533,-0.894073,-2.330087
-0.138190,-0.522318,0.816218,-1.157541,-1.964571
1.296535,0.436229,-1.363711,1.482510,2.612239
0.042371,0.656737,-0.907780,0.505926,0.806837
0.563053,-0.194429,0.542116,-0.633074,-1.291842
-1.108636,0.308098,-0.253395,0.619060,-0.068214
0.014327,0.330779,-0.553769,0.020807,0.772355
-0.253514,0.831446,-0.498197,0.464037,1.040275
0.455830,-0.406370,-0.188332,0.206978,0.172199
0.260073,-0.822761,1.032560,-1.172392,-1.842424
0.018297,0.844660,-0.660473,0.755084,-0.033815
-0.693657,-0.906574,1.576195,-1.784899,-2.718552
0.367113,-0.000026,0.450536,-0.788582,-0.489027
-0.362089,-0.261154,-0.492153,-0.282512,0.282600
0.870610,0.025178,-0.191583,0.056017,0.472576
-0.032256,0.376756,-0.193982,-0.055077,1.085574
0.213467,0.221259,-0.765255,0.944807,1.189581
-0.067937,0.536498,-1.000440,1.260926,1.758316
1.243168,0.209132,-0.483163,0.755778,0.313668
-0.411525,0.157834,-0.470393,1.886116,1.378746
-0.471852,-0.227997,-0.441295,0.697169,0.711895
0.291830,0.089059,0.545205,-0.473654,-0.753644
0.463737,0.535529,-0.560641,0.465760,0.648016
0.057690,-0.271949,0.564378,-0.269170,-0.278974
-0.242186,-0.451762,0.013332,-0.327428,-0.032484
0.489659,0.140266,0.036215,-0.144500,0.389261
-0.512650,0.106563,-0.821497,0.868763,1.640824
0.521478,0.283128,0.008826,-0.342225,-0.153768
-0.077069,-0.072030,0.355925,-0.481192,-0.052752
-0.531358,0.441853,-0.700224,1.012082,1.031567
-0.226007,0.519078,-0.776515,0.655306,1.635893
0.334005,-0.504454,-0.171025,0.457945,0.235159
-0.774308,0.363781,-0.292362,0.064605,0.195534
-0.060899,-1.016961,0.658138,0.408384,-0.667177
-0.370922,-0.303521,0.397980,-0.101417,0.019893
0.092244,-0.144512,0.337211,-0.141690,-0.790338
0.404286,-0.570016,0.080135,-0.561963,-1.740928
