X0,X1,X2,X3,X4,X5
0.145900,-0.244190,0.855342,0.315551,-2.410272,-0.284628
0.065671,0.356627,-0.644688,-0.073931,0.290381,-0.747844
-0.949979,0.042429,-0.174082,0.069537,1.488038,-0.553327
-0.206804,0.157501,-0.871403,-0.074230,1.505056,0.627071
-0.276309,-0.157884,0.113541,0.004203,-0.492175,0.214836
0.636075,-0.375096,0.179585,-0.612085,-0.578795,-0.707333
0.015358,-0.408502,0.898397,0.659348,-1.971005,-0.131766
-0.336098,-0.446643,0.579572,1.143018,-1.263865,0.447392
-0.368642,0.407531,-0.775227,-0.153970,1.978299,0.096026
-0.165983,-0.387146,0.904634,0.395186,-1.138696,0.124821
0.157601,0.534756,-1.736754,-0.632535,2.315241,0.162289
0.136697,-0.278045,0.754547,0.532210,-1.313861,0.298747
0.058236,-0.778024,0.555730,0.638418,-1.144957,-0.083927
0.445689,-0.162061,-0.544404,-0.222625,0.503771,0.168056
0.891350,-1.205143,2.126162,1.135452,-3.940412,0.714563
-0.197903,0.876180,-1.412533,-1.331178,1.726320,-0.333812
0.646650,-0.489289,0.862073,0.202773,-1.127294,1.024584
0.106699,0.153971,-0.351067,-0.373602,-0.369172,-0.177515
-0.137622,0.077598,0.275308,-0.027864,0.969025,-0.353259
-0.610483,0.956317,-1.738248,-1.352639,3.691757,-0.094229
0.601649,-0.080551,-0.100514,-0.257716,-0.344280,-0.642991
-0.917078,0.104014,0.487419,-0.690672,0.852607,-0.729449
-0.108897,0.902612,-1.749592,-1.491595,1.994028,0.533212
0.029228,0.430739,-0.348349,-0.574910,0.352062,-0.351557
0.514228,0.586931,0.024712,-0.710660,-0.315698,-0.494073
-0.130202,-0.967041,1.020632,0.941500,-1.821983,-0.096682
0.172019,-0.356352,-0.927836,-0.458272,0.775508,-0.583952
-0.179026,-0.620685,0.899117,1.427554,-1.278422,-0.015033
0.169702,0.412745,-0.899134,-1.403790,1.080893,-0.343963
0.378530,-0.953593,0.868102,1.225634,-1.812364,0.154512
0.496595,0.099177,-0.216996,-0.085356,-0.344649,0.615034
-0.557626,-0.531208,1.392216,0.072253,-1.207001,0.114393
-0.012973,-0.181870,0.297167,0.410367,-0.022416,-0.111700
-0.021669,0.422297,-0.603471,-0.855740,0.274293,0.461547
0.001116,0.978707,-1.940188,-1.919337,2.941643,-0.091981
0.413872,0.207277,0.429031,-0.151673,-1.143965,-0.173474
0.787561,0.239396,-0.526401,-0.200768,0.335955,0.637376
-0.174317,-0.152800,0.656174,-0.072747,-0.795295,0.587283
0.475472,-0.014282,-0.081573,-0.172533,-0.538477,-1.043668
0.703679,-0.767046,0.090757,1.305273,-0.395587,-0.506434
-0.873295,-0.137259,0.890457,0.720110,-0.292320,0.567134
-0.576277,-0.449995,0.087163,0.163035,-0.070461,0.614705
0.215846,0.487428,-0.456115,-0.530376,-0.257230,-0.415441
