X0,X1,X2
-0.127115,0.325803,-0.014716
0.742573,-0.463962,-1.019723
0.196014,1.073758,-0.038106
-0.237401,-0.039780,0.634272
0.564104,-0.371571,-1.100437
-0.959991,-0.609103,0.735627
-0.357976,-0.874510,0.308410
0.326731,0.200061,0.113997
0.487341,-0.401385,-0.393647
0.712223,-0.443921,-1.433002
-0.303989,0.522456,0.715025
-0.160737,0.169711,0.655847
1.011455,-0.902523,-0.470234
-0.096484,-0.001860,-0.051354
-0.275492,-0.524205,0.854690
0.040695,0.035075,-1.034651
-1.132892,0.535220,0.424912
0.440254,-0.459814,-0.708737
-0.417658,-0.473729,0.388198
-0.453838,0.086230,1.177558
-0.285246,-0.427701,0.338290
-0.340164,0.189816,-0.630344
0.102188,0.386919,-0.222849
0.837303,0.560053,-0.715367
-0.250226,-0.188683,-0.137279
0.037163,-0.433770,0.359651
0.691434,0.978605,-0.613328
0.577835,0.754224,-1.220947
0.345614,0.498610,-0.468126
0.630364,0.060824,-0.131349
-0.325631,-0.015133,1.172544
-0.184955,-0.160364,0.104723
0.190622,0.411820,0.391360
-0.629390,-0.251839,1.485076
0.373494,-0.011100,-1.215568
-0.387695,-0.318639,0.503431
0.013356,-0.948320,-0.227811
0.289379,1.113678,-0.229820
-0.378838,0.361713,1.086496
-0.706467,-0.273952,0.988189
-0.027493,0.013877,-0.078857
-0.027016,0.008066,-0.586856
-0.525068,0.079278,-0.279921
-0.240641,-0.520391,-0.301245
-0.186840,-1.321046,0.808461
-0.388316,0.037941,0.570039
-0.718131,0.445198,0.669249
-0.546489,0.799577,0.789101
-0.298857,-0.765249,0.153367
0.537413,-0.297522,-0.991628
-0.186120,0.113598,-0.166697
-0.055686,-0.415827,0.115854
-0.557817,-0.143897,0.119536
0.364278,0.218441,-1.238956
0.844683,-0.253026,-0.936647
0.462057,-0.423465,-1.022479
0.144511,0.369544,0.608835
0.275876,-0.102762,-0.654195
-0.322404,0.008803,1.012321
0.606492,-0.432981,-1.143242
-0.160995,0.056469,-0.023996
-0.431065,-0.245039,0.567931
0.122487,0.224582,-0.570083
-0.317439,-0.409293,1.098189
-0.117088,0.892060,0.267818
0.713967,-0.067449,-0.820065
1.294259,1.349081,-1.397285
0.807501,-0.205769,-1.072896
1.224192,0.845435,-1.588301
0.566165,-0.026639,-0.280532
-0.039545,0.154472,0.745965
0.045488,0.190527,-0.306598
0.099949,0.375579,0.175143
0.322857,1.094736,-0.617413
-0.480966,-0.821339,1.445085
0.293312,0.176005,0.053416
0.541912,0.515794,-0.478015
-0.023351,0.548813,0.434103
-0.403510,0.975123,0.015597
-0.400643,-0.441409,0.280583
0.649639,-0.617737,0.067785
0.372000,0.523294,-1.118063
-1.154575,0.797057,1.014909
-0.049769,0.679250,0.846905
-0.079723,-0.732335,-0.106407
0.340679,0.000636,0.302404
-0.928722,1.354203,0.887282
0.474432,-0.455320,-0.060583
0.085365,0.079071,-0.394641
0.342078,-0.556466,0.394808
-0.371961,-0.302545,0.456784
0.194723,0.121610,-0.421972
-0.207667,-0.754066,0.508289
0.193813,-0.276001,0.063541
0.239831,0.024427,-0.243729
-0.362205,-0.690547,1.088825
0.268797,-0.145779,0.218686
-0.373977,0.092751,0.379055
0.055063,0.589345,-0.170207
0.283960,-0.433823,-0.552954
-0.140471,0.835528,1.149803
0.009182,-0.172882,0.392490
0.652851,-0.567228,-0.936591
-0.341428,0.244622,0.332645
0.059076,-0.226149,-0.697492
0.395540,-0.617344,-0.281902
-0.667338,0.021990,0.386390
-0.279428,0.428349,1.618131
-0.557203,0.394451,0.840075
0.059230,1.063147,0.293872
0.133830,-0.488724,0.169179
-0.851101,-0.399720,1.093212
-0.674833,-0.434697,0.286667
-0.125538,0.617587,-0.931245
-0.409789,0.979474,0.651854
-0.274828,0.190067,0.647022
-0.278010,0.124884,0.127271
-0.476955,-0.410160,0.976999
-0.278798,0.547536,0.504506
-1.151973,-0.233826,0.326797
-0.029400,0.236659,0.188967
-0.259008,0.425668,0.415282
-0.120628,-0.425055,0.010471
-0.353976,-0.109260,0.223950
-1.040510,0.616160,0.757378
-0.540804,0.063288,0.570765
-0.206949,0.469088,0.486814
0.096619,0.438099,0.362449
-0.138665,-0.036632,0.011378
0.388396,0.737181,0.255945
-0.828227,-0.178631,1.219960
0.142643,0.655527,0.025427
0.580944,1.640867,0.325623
-0.065257,0.319412,0.402810
0.010831,0.070328,0.742215
-0.227091,0.604310,-0.962674
0.091708,-0.705102,-0.119931
0.018650,-0.854984,-0.691770
0.111245,-0.444453,-0.758057
-0.700807,0.661454,0.598930
-0.433786,0.379392,0.484042
-0.023449,0.078252,-0.000088
-0.163085,-0.070842,-0.454321
0.757620,-0.071972,-0.060104
-0.434712,0.059551,-0.226689
0.190341,-0.053648,-0.694118
-0.136501,-0.678946,-0.519100
0.716138,0.627849,-0.315096
-0.222838,0.584218,0.545194
0.245018,0.423273,1.000746
1.226289,0.192812,-1.938869
0.123404,0.715714,0.154570
0.374227,0.226226,-0.866363
-0.928183,-0.061675,0.196860
0.264657,-0.797488,-0.745858
-0.321304,0.206592,-0.455134
-0.761020,0.396974,1.014238
0.103916,-0.063996,-0.682071
-0.106633,-0.767978,0.156643
-0.315832,-0.091283,0.509541
-0.173810,0.217045,0.302761
-0.143740,0.030247,-0.117968
0.009293,0.474904,-0.176524
0.033470,0.336549,-0.178808
1.021503,-0.912846,-1.782846
0.737911,0.304283,-1.217145
1.157139,0.025739,-2.330621
0.213847,-0.440619,-0.626515
-0.800352,-0.119669,0.938016
-0.119345,0.060647,0.673409
0.421621,-0.044730,-0.323734
-0.074432,0.307470,-0.726041
1.077537,-0.024406,-1.058702
0.006700,-0.777231,0.673265
0.885802,-0.532764,-0.736676
0.115709,0.949969,-0.335519
0.356608,0.112459,-0.394127
-0.494292,0.299223,0.030270
-0.190555,-0.327444,-0.326224
-0.145057,0.549455,-0.342338
0.224210,0.452002,0.450880
-0.177143,0.337882,0.866693
0.388350,-0.132237,-0.350609
-0.872810,0.172322,0.985418
0.406287,-0.036314,-0.770141
-0.569177,0.264809,1.395265
0.635861,1.221429,-0.632031
-0.150564,1.353831,0.520420
-0.640847,0.236724,0.906197
-0.147437,0.288126,-0.357211
0.763609,0.487394,-0.393539
0.135015,-0.413343,-0.107402
0.460956,-0.257308,0.216989
0.611231,-0.099000,-0.576048
0.659529,0.009110,-0.943178
0.392254,-0.764995,-0.193256
-0.454475,-0.030225,1.111815
0.070864,-0.586576,0.501660
0.422809,0.526983,-0.002090
-0.803978,0.331336,0.639931
-0.142438,0.051082,0.427849
-0.109309,-0.501277,-0.063357
0.039882,0.164855,-0.606868
-0.183628,0.321915,-0.267234
0.212988,-0.235845,0.147022
0.584217,-0.465019,-0.279833
0.137260,0.266285,-0.947418
0.829473,0.095668,-0.418810
-0.701837,-0.219606,0.702097
0.042408,0.856244,-0.569961
0.167361,-0.502331,-0.534551
0.519486,0.226437,-1.252803
0.378829,-0.771062,-0.895294
0.249665,1.003221,-0.201719
0.512363,-0.025657,-0.728097
-0.390539,0.224388,0.306080
-0.151724,-0.676813,0.301164
-0.834978,0.115463,1.723860
0.055583,-0.612522,-0.984156
-0.510269,0.723201,0.221860
0.641091,0.130167,-0.831082
0.139227,0.252058,-0.892777
0.037436,0.093181,0.331988
-0.030696,-0.235794,-0.739833
-0.577764,-0.443052,0.402286
0.138215,-0.409585,0.340840
0.220740,-0.496734,-0.682362
-0.723975,-0.505779,-0.362893
-0.125400,0.829867,0.667354
0.481782,0.476779,-0.659664
-0.284688,-0.099886,0.266675
0.528414,0.093267,-0.808493
-0.846465,-0.168088,0.937940
-0.227432,0.020932,0.101381
0.312683,0.943257,-0.154647
0.065606,0.582957,-0.462486
-0.647851,-0.018018,0.188973
0.157914,0.288820,0.553360
-0.586522,0.367723,1.368466
0.264563,0.832397,-0.105043
0.285997,0.267960,-1.106484
-0.037084,-0.884704,-0.490971
-0.032293,-0.387634,-0.244590
0.118629,0.043246,-0.540631
0.496421,-0.297193,0.247533
-0.028447,-0.066495,-0.136071
0.414844,0.328936,-0.641432
0.080651,0.202801,1.021270
-0.385598,-1.061790,0.486673
-0.368391,-0.000625,0.736161
-0.141122,0.216251,0.270570
0.528959,-0.316040,-0.545679
0.324474,-0.541688,-0.050772
-0.507359,-0.888237,-0.129456
0.951804,-0.314936,-0.302151
0.439419,0.736907,-0.460605
0.520948,0.291274,-1.085642
-0.088425,-0.363228,0.465103
-0.404247,0.469104,-0.091201
-0.497274,1.044288,-0.183845
-0.636833,0.563243,1.008212
-0.474365,-0.107925,-0.762771
-0.055510,0.128279,-0.351292
0.533597,-0.163574,-0.960107
-0.864361,-0.448913,1.327799
-0.328267,0.455177,0.100105
-0.637516,-0.672501,0.161708
0.247780,-0.639737,0.825542
-0.115997,-0.112153,0.383808
-0.359873,-0.016805,0.552046
0.899306,0.301218,-0.384325
-0.087450,-0.275664,0.275607
0.485200,1.154630,0.122390
0.096357,-0.077734,0.229384
-0.245771,-0.367251,-0.379110
0.124881,-0.233251,-0.192200
-0.590708,0.673662,0.505126
-0.241970,0.197031,0.306749
0.141675,-0.536809,-0.275052
-0.934292,0.068948,1.465782
0.201696,-0.178201,-0.298800
-0.309110,0.519702,0.243816
-0.768433,0.131181,1.093914
0.554916,-0.325477,-1.788849
0.214199,-0.596026,-1.090952
0.347258,0.822136,-0.231756
0.366965,-0.544292,-1.129661
-0.221378,0.113582,0.689311
0.024313,-0.970086,0.228993
-0.072544,-0.360604,0.386932
0.722316,-0.593200,-0.461983
0.565304,-0.365608,-0.776304
-0.609351,0.295848,0.416455
-0.412451,-0.819174,0.636027
-0.009185,-0.522282,0.758652
-1.583208,-0.072825,1.366997
0.346649,-0.458957,-0.951411
0.506632,-0.498189,-0.729646
-0.278865,0.452995,-0.107434
-0.502414,-0.085546,0.289405
0.164746,-0.626785,-0.801747
-0.070028,-0.570503,-0.017478
-0.619983,0.302017,1.537828
0.194924,1.012148,0.166109
-0.292067,-0.208394,-0.370830
-0.017618,0.375774,-0.011225
-0.351232,-0.910413,-0.059540
