二氧化碳,温度,海冰面积
0.636265,1.264325,0.515641
1.579594,0.674510,1.303906
-0.668791,0.321680,-0.091918
-0.545453,-0.470814,-0.680643
-0.208867,0.011112,-0.152125
0.291216,-0.155766,0.334058
0.097018,0.568427,0.599235
0.604308,0.840242,0.707491
-1.125187,0.074724,-0.746972
0.396854,0.998101,0.437039
-0.742215,-0.524126,-0.385453
-0.143334,1.453856,0.431657
1.708014,1.871006,1.770363
-1.398243,-0.708512,-0.180083
-0.279467,-0.694204,-0.390441
-1.274646,-1.657268,-1.281545
0.153068,-0.615366,-0.626303
1.048233,0.266930,0.211261
0.169655,0.807410,0.791055
-0.116716,0.161843,-0.034286
1.328402,0.623195,1.257364
0.330502,0.163417,0.273191
0.819566,0.444823,1.661629
0.715257,0.900706,0.684830
-2.876240,-2.452767,-2.505417
-0.076669,0.121175,-0.196206
-1.078074,-0.604609,-0.454371
-0.829317,-1.004956,-0.772547
1.474586,1.826213,1.427205
-0.374806,-0.410149,-0.461197
1.892568,0.828423,1.695631
-1.407688,-0.558942,-0.492928
-1.083671,-0.731322,-1.266580
0.762351,0.737860,0.637865
-0.341372,-0.831300,-0.058910
0.307327,0.621337,0.475580
-0.112307,1.007599,0.644664
-0.142576,-0.731220,-0.157683
-0.304236,-0.035861,-0.512859
0.179493,-0.267009,-0.340318
0.641638,1.793950,1.265915
1.614422,1.749912,2.087103
-0.202513,-0.000705,0.254502
-0.393638,-0.889481,-0.445214
-0.522462,-0.858751,-0.735983
1.469784,1.401986,1.797976
0.690325,-0.198019,0.141525
-1.899033,-1.994880,-1.753151
-1.943121,-1.355769,-1.287098
-0.830058,-0.514332,-0.101576
0.230145,0.351118,0.315831
-0.033470,-0.243192,-0.238086
0.514779,0.820418,1.116685
-0.175443,-0.553718,0.039148
1.397419,1.291515,1.200864
0.772111,0.647538,0.395857
0.077577,0.354628,0.639518
1.145339,1.392737,0.831260
-1.648906,-1.381901,-1.966543
-0.085075,-0.390091,-0.318573
0.137512,-0.747938,-0.363026
0.602036,-0.588075,-0.430016
-1.715166,-1.288603,-1.392669
-0.260407,-0.236046,-0.165850
0.400461,-0.262719,-0.141563
0.477162,-0.101536,0.739982
1.186130,1.592018,1.558591
0.761505,0.970974,1.225733
-0.060846,-0.673396,-0.865240
0.674974,0.251308,-0.018678
-0.201364,0.062047,0.094701
0.146774,-0.210484,0.488877
0.794802,0.152014,0.106149
-0.045301,-0.200833,-0.095607
0.361990,0.798723,0.253501
0.961309,1.263617,0.927107
0.712165,0.130792,0.421275
1.233472,1.093706,1.001829
2.328448,1.626708,1.515747
0.702928,-0.012068,-0.124445
-0.461293,-0.471442,-1.033185
0.511823,-0.273841,0.183400
0.468818,0.909701,0.912622
0.613511,1.205694,1.146586
1.495016,0.841225,0.829989
-1.684112,-1.503418,-1.273910
1.513838,1.586984,1.769759
1.850417,1.903366,1.884375
0.568071,-0.159556,0.084446
0.592135,0.340472,0.246403
-0.241645,-0.198621,-0.158182
0.006324,-0.380961,0.259127
0.697952,0.681557,1.029472
0.633552,0.093514,0.232666
0.720710,0.234366,0.590490
0.626669,0.387997,0.153036
0.898390,-0.115658,0.508981
0.786649,-0.477573,-0.221141
-1.024349,-0.257908,-0.357408
0.832268,0.212426,1.351085
1.858587,2.368443,1.993497
-0.026627,0.967280,1.446558
1.499480,0.796397,1.224821
-0.917295,0.527420,-0.275354
-0.029763,0.447953,0.018230
-0.641158,-0.771468,-0.009857
1.379221,-0.325465,0.504306
1.640477,1.492411,1.381791
-0.099196,-0.053789,-0.132990
1.171062,1.035424,1.218912
1.650627,1.041021,1.282247
-0.032919,-0.594972,-0.266381
0.129752,-0.122687,0.510372
0.733615,0.866849,0.475165
-0.842538,-0.766964,-0.603805
0.110098,-0.103141,-0.039715
2.142787,0.740257,1.151556
-0.500014,-0.304409,-0.060999
0.853826,0.041712,-0.071870
0.523804,0.825926,-0.004853
-0.163766,-0.481687,-0.287158
0.221655,0.007307,0.051592
1.752620,2.308826,1.680489
0.553597,0.234231,-0.151188
0.709819,0.276586,1.029069
1.600862,1.413415,1.627298
-0.289410,-1.095218,-0.767001
-1.046915,-0.107436,0.175346
1.768347,1.734813,2.054846
0.136522,0.357791,0.800066
0.893601,-1.063028,-0.634363
-0.762329,-0.663336,-1.068151
0.388526,-0.364465,0.121854
-1.096933,-0.205800,-0.437903
0.063740,0.570898,0.742934
-0.647923,-0.259541,-0.904131
-0.877654,-1.215914,-0.869531
-0.303123,0.534961,0.496508
-2.293391,-1.736504,-1.678407
-1.159902,0.090754,-0.531517
0.782414,0.680383,0.876780
0.347666,0.496770,0.204432
-1.074187,-0.982083,-1.106808
0.547874,1.086989,0.558462
-0.878213,-0.310532,-0.765204
0.721964,1.226821,0.952589
-0.115639,0.007823,-0.188843
-0.325123,-0.251106,-0.508350
-0.091064,0.233821,-0.286012
2.559528,2.512940,3.119904
-0.758802,-0.022794,-0.467366
0.226559,0.227703,0.326235
0.781369,-0.381651,-0.444135
-0.962413,-0.268496,-0.138768
-1.594258,-1.835333,-1.688755
-0.601098,-0.403266,-0.615561
0.759463,0.473741,0.457488
-0.342003,-0.948287,-0.444950
-0.231106,0.024477,-0.963685
0.910770,1.714698,1.145868
-0.806343,-0.720743,-0.790708
-0.088755,0.320811,0.117801
-1.513841,0.118156,0.216951
0.320719,0.655810,0.420496
0.229507,-0.161767,0.291811
0.795536,0.675383,1.266941
-1.145256,-0.561289,-0.593692
-0.191888,0.582585,0.070651
-1.278470,-0.287904,-1.069477
-0.246107,-1.557216,-0.809146
1.481788,0.609149,1.451712
-0.320753,-0.259540,-0.120236
-1.365920,-1.463787,-1.054606
-0.679879,-2.325961,-0.889944
-1.610952,-1.490476,-1.287454
-1.295773,-0.908846,-1.393807
0.670987,0.207049,0.407942
-1.446283,-1.510870,-1.073971
0.312329,0.239362,0.193915
0.025743,0.189564,0.575747
-0.531528,-0.606368,-0.596513
0.227350,0.845017,0.698254
-0.937662,-0.627506,-0.856790
0.840844,0.152834,0.475899
-0.698340,-1.051107,-0.846266
-0.386367,-0.376942,-0.863274
-0.505351,0.202965,-0.212840
0.689474,0.070787,-0.051701
0.544444,0.679050,0.503075
-2.621701,-1.787912,-2.359977
0.254243,1.174587,1.109995
-1.744593,-1.026089,-1.006471
-0.341322,-0.588038,-0.321263
-0.108174,0.292463,-0.248087
-0.352058,0.138570,-0.087122
0.500819,0.152068,-0.112589
0.720077,-0.077944,0.197076
-0.773466,-0.273408,-0.279205
-0.809797,-0.535100,-0.347348
-0.035970,-0.783454,-0.342607
-1.543732,-0.953352,-0.811963
-0.476978,-0.652381,-0.504293
1.348078,0.185853,0.580675
-1.506301,-1.230469,-1.078703
-0.340117,0.403377,0.377922
-0.592301,0.189420,-0.280520
2.005268,1.877064,2.042040
-0.537861,-0.241886,-0.448570
-0.479811,-0.037969,-0.817284
-1.030765,-0.672213,-0.683602
0.009322,-0.546000,-0.712228
0.270167,-0.263634,0.048354
-0.885820,-0.923664,-1.369118
0.988723,1.392785,1.015260
0.271064,0.728090,0.415200
0.851899,0.056391,0.735112
-0.328136,-0.202999,-0.413108
0.243184,-0.031075,-0.243862
-0.213096,-0.226718,-0.111966
1.457682,0.752356,0.969394
0.116264,0.784231,0.754212
0.008754,-0.003326,-0.302058
-0.458242,-0.212691,-0.247655
-0.515964,-0.249045,0.385057
0.237722,-0.347480,-0.185183
0.819587,0.627988,0.760647
-0.684558,0.051968,-0.740955
0.126579,0.824951,0.289709
0.184169,-0.444989,-0.055409
0.358364,-0.508446,-0.260692
-1.707496,-1.164180,-1.197177
-0.924733,-0.092719,-0.298043
-1.365845,-0.776293,-1.407522
0.032884,0.363167,0.535646
