压力,睡眠质量,情绪
-0.196638,-0.154092,-0.030823
-0.752203,-0.544771,-0.405443
0.479489,0.426616,0.046671
0.188365,-0.165415,0.479445
0.392908,0.060961,0.338718
0.705045,0.315919,0.260339
-0.170524,-0.281016,-0.565796
-0.168888,-0.273600,0.064414
1.482453,-0.082696,0.606711
-0.944015,-0.611986,-0.600017
-1.873632,-1.575276,-1.686619
0.555539,-0.544528,-0.405325
-0.629350,-0.615571,-0.468497
-1.077351,-0.944624,-1.056976
0.885238,1.257289,1.101961
-0.144768,-0.370953,0.432622
-1.263564,-0.550600,-0.575065
1.934946,2.045868,2.279529
-1.610686,-1.441515,-0.693026
-0.086678,-0.084423,0.030047
-1.889277,-0.458148,-0.994687
0.270658,0.303949,0.086870
-0.641109,-0.261901,-0.549350
0.819275,0.369865,-0.064502
-0.017386,0.331355,0.428985
1.350608,0.925604,0.715529
-0.429714,-1.216851,-0.631175
-1.604544,-1.300797,-1.435204
0.237516,-0.425328,-0.121773
-0.252557,-0.120670,-0.186135
-1.819260,-1.731901,-1.351023
-1.055380,-0.499702,-0.359141
-0.737132,-0.493611,-0.599687
1.555383,0.464764,0.631310
0.707446,0.248943,0.709511
-0.347735,0.066867,-0.391347
0.470870,0.903605,0.264053
-2.039460,-1.878833,-1.793579
-0.564906,-0.944155,-0.426908
0.400995,1.256189,0.792586
0.165376,0.110879,0.254033
-0.539356,-0.331815,-0.539534
-0.038308,-0.396511,-0.036632
0.338109,0.344286,0.670324
-0.009357,0.850998,0.427997
0.861004,0.729885,0.474052
0.318702,0.755573,0.143716
0.511240,0.372360,0.705619
1.713555,0.686587,0.756404
0.827506,0.237636,0.585191
1.740958,0.659770,1.325467
-0.671914,-0.361447,-0.636024
-1.592414,-0.502745,-0.988476
-0.140281,-0.017691,0.232986
-0.225596,-0.311808,-0.519782
1.459414,0.626770,0.686914
-1.130044,-0.613308,-0.890320
-0.078879,-0.674281,-0.052747
0.405179,-0.283425,0.475236
0.100103,0.520153,0.322498
-0.171530,-0.258938,-0.437611
0.358568,0.102271,0.524024
1.079098,0.670835,0.333352
1.535745,1.437957,1.551356
0.032807,0.105716,0.063379
-0.815846,-0.942633,-0.503770
1.534534,0.720628,1.464696
-1.077633,-0.851899,-1.224951
