天赋,训练量,表现
-0.309788,0.179355,-0.070797
0.060236,0.104693,0.407984
-1.240756,-0.430176,-0.085870
-1.387754,-1.253093,-1.253061
0.182298,0.570297,0.413126
-0.757781,-0.022542,-0.239879
-1.452512,-0.678010,-1.185187
0.965341,0.742824,1.061324
-0.631795,-0.085595,-0.171722
1.149812,0.357866,0.548503
0.028471,0.119111,0.353475
0.294759,0.356586,0.337552
-0.211500,-0.812808,-0.863301
-2.655162,-1.621321,-1.929376
-1.136786,-1.420160,-1.235713
-0.125709,-0.301956,0.056668
0.364729,0.275191,0.560470
-1.789674,-1.618140,-1.719522
-0.053602,0.003756,-0.160813
-1.122264,-0.752306,-0.899766
0.234620,-0.245857,0.055327
-0.019401,0.270407,0.299610
0.743502,0.138373,0.470848
1.066823,1.890763,1.533959
0.458990,0.266554,0.642573
0.860394,0.016628,0.151844
-0.350342,-0.737411,0.161238
2.823117,2.549972,2.888152
-1.218819,-1.057749,-1.460423
-0.527756,-1.051311,-0.786320
0.901359,1.057807,1.227033
0.752721,0.319118,0.387749
0.487389,0.667882,0.147142
0.675319,0.940506,0.522712
-2.083557,-1.321258,-1.463550
1.589299,2.310463,1.495612
-0.203891,-1.005095,-1.119417
1.245894,0.463151,0.937299
-2.033527,-1.551444,-1.811042
0.256569,1.310185,0.680004
-0.563502,0.504550,-0.071091
0.572120,1.044830,0.414502
0.317070,-0.175113,0.167097
0.366048,-0.082524,-0.145058
-1.058942,-1.155539,-1.277626
-0.056969,-0.431592,-0.177707
-0.180167,0.620235,0.223086
0.495310,0.224833,0.121628
0.989297,0.636759,0.180943
0.150476,0.492527,0.465934
-1.276172,-1.725085,-1.521822
0.107579,0.101628,-0.051208
2.611076,1.279317,1.500801
1.646005,1.004996,1.265229
-2.974400,-2.375290,-2.470792
0.063343,-0.274650,-0.110125
0.932120,0.765275,1.323432
-0.182327,-0.017022,0.128288
-0.460091,-0.431974,-0.475406
-0.266964,-0.001533,0.113778
0.552189,-0.047775,0.206810
-1.148470,-0.463136,-0.723712
1.188689,0.728983,1.301774
-0.055993,-0.281027,-0.460431
-0.935024,-1.051896,-0.998155
1.124350,0.666346,1.206461
-1.545131,-0.146272,-0.613118
-0.555210,-0.420304,-0.584982
-0.571675,-0.972374,-1.323943
2.143942,1.960169,1.352574
-0.685021,-0.715479,-0.080441
-2.154965,-1.366596,-1.589390
-0.581815,-0.710101,-0.834009
0.455550,0.959272,0.862620
0.784085,0.253479,0.181419
2.276540,2.292507,2.186760
1.406898,0.460198,0.556596
0.187923,-0.014907,-0.357757
-0.891415,0.076007,-0.942457
1.624027,1.220906,0.902858
-0.368564,0.877738,0.685604
-0.658157,-0.595280,-0.916496
-0.417074,-0.163430,-0.104420
-1.252288,0.075973,-0.168337
-0.465020,-1.082476,-0.830520
-0.233108,-0.982051,-0.772044
